"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 12- 30","1,824.40","1,815.14","1,826.73","1,809.84","","0.52%"
"2022- 12- 29","1,814.89","1,804.16","1,820.52","1,802.02","","0.60%"
"2022- 12- 28","1,804.09","1,814.00","1,815.18","1,796.56","","-0.54%"
"2022- 12- 27","1,813.93","1,796.67","1,833.39","1,796.20","","0.91%"
"2022- 12- 26","1,797.61","1,798.57","1,798.78","1,798.04","","-0.02%"
"2022- 12- 23","1,797.91","1,792.65","1,803.60","1,789.62","","0.30%"
"2022- 12- 22","1,792.57","1,814.20","1,821.10","1,784.11","","-1.19%"
"2022- 12- 21","1,814.13","1,818.06","1,824.39","1,811.24","","-0.18%"
"2022- 12- 20","1,817.41","1,787.49","1,821.60","1,784.21","","1.68%"
"2022- 12- 19","1,787.44","1,793.13","1,799.10","1,783.48","","-0.27%"
"2022- 12- 16","1,792.34","1,776.72","1,794.69","1,773.89","","0.88%"
"2022- 12- 15","1,776.66","1,807.40","1,809.09","1,772.00","","-1.69%"
"2022- 12- 14","1,807.27","1,810.49","1,814.19","1,796.07","","-0.17%"
"2022- 12- 13","1,810.29","1,781.21","1,824.87","1,779.81","","1.64%"
"2022- 12- 12","1,781.15","1,797.35","1,798.00","1,777.22","","-0.86%"
"2022- 12- 09","1,796.63","1,789.30","1,806.45","1,787.96","","0.41%"
"2022- 12- 08","1,789.23","1,786.29","1,795.18","1,780.96","","0.17%"
"2022- 12- 07","1,786.22","1,771.14","1,790.92","1,768.32","","0.86%"
"2022- 12- 06","1,770.91","1,768.67","1,781.46","1,765.72","","0.14%"
"2022- 12- 05","1,768.39","1,797.92","1,810.33","1,765.32","","-1.64%"
"2022- 12- 02","1,797.82","1,803.15","1,804.93","1,778.26","","-0.28%"
"2022- 12- 01","1,802.89","1,768.54","1,804.32","1,767.36","","1.95%"
"2022- 11- 30","1,768.45","1,749.82","1,770.39","1,744.41","","1.07%"
"2022- 11- 29","1,749.73","1,740.82","1,759.33","1,738.98","","0.52%"
"2022- 11- 28","1,740.75","1,755.00","1,764.08","1,739.14","","-0.88%"
"2022- 11- 25","1,756.14","1,756.48","1,761.58","1,745.46","","0.07%"
"2022- 11- 24","1,754.96","1,749.53","1,759.08","1,749.03","","0.32%"
"2022- 11- 23","1,749.28","1,740.30","1,753.54","1,728.25","","0.52%"
"2022- 11- 22","1,740.24","1,738.48","1,749.98","1,736.61","","0.14%"
"2022- 11- 21","1,737.81","1,750.82","1,753.52","1,732.03","","-0.68%"
"2022- 11- 18","1,749.74","1,760.74","1,767.98","1,747.04","","-0.63%"
"2022- 11- 17","1,760.87","1,773.82","1,775.20","1,754.13","","-0.73%"
"2022- 11- 16","1,773.77","1,778.34","1,785.49","1,769.82","","-0.25%"
"2022- 11- 15","1,778.25","1,771.88","1,786.68","1,766.56","","0.36%"
"2022- 11- 14","1,771.80","1,771.42","1,775.36","1,752.90","","0.06%"
"2022- 11- 11","1,770.69","1,754.92","1,773.17","1,746.85","","0.90%"
"2022- 11- 10","1,754.86","1,706.42","1,757.52","1,703.32","","2.84%"
"2022- 11- 09","1,706.32","1,712.60","1,722.94","1,701.79","","-0.36%"
"2022- 11- 08","1,712.52","1,674.75","1,717.31","1,664.32","","2.26%"
"2022- 11- 07","1,674.68","1,681.30","1,682.08","1,666.44","","-0.33%"
"2022- 11- 04","1,680.27","1,629.40","1,682.17","1,628.23","","3.14%"
"2022- 11- 03","1,629.15","1,635.80","1,641.32","1,616.18","","-0.35%"
"2022- 11- 02","1,634.89","1,647.77","1,669.60","1,634.40","","-0.77%"
"2022- 11- 01","1,647.50","1,633.40","1,657.13","1,630.93","","0.88%"
"2022- 10- 31","1,633.12","1,643.69","1,645.80","1,631.77","","-0.53%"
"2022- 10- 28","1,641.76","1,663.30","1,667.44","1,637.39","","-1.27%"
"2022- 10- 27","1,662.94","1,664.50","1,671.09","1,654.81","","-0.09%"
"2022- 10- 26","1,664.49","1,653.21","1,675.12","1,649.15","","0.72%"
"2022- 10- 25","1,652.52","1,649.70","1,662.89","1,637.82","","0.24%"
"2022- 10- 24","1,648.60","1,658.19","1,670.55","1,643.64","","-0.49%"
"2022- 10- 21","1,656.66","1,628.10","1,659.08","1,617.21","","1.78%"
"2022- 10- 20","1,627.66","1,629.93","1,645.83","1,621.93","","-0.05%"
"2022- 10- 19","1,628.49","1,651.99","1,654.90","1,627.25","","-1.41%"
"2022- 10- 18","1,651.83","1,650.49","1,661.27","1,645.61","","0.11%"
"2022- 10- 17","1,649.94","1,644.09","1,668.69","1,643.69","","0.50%"
"2022- 10- 14","1,641.76","1,665.90","1,672.02","1,639.90","","-1.44%"
"2022- 10- 13","1,665.80","1,673.30","1,682.84","1,642.25","","-0.40%"
"2022- 10- 12","1,672.51","1,666.49","1,678.90","1,660.95","","0.43%"
"2022- 10- 11","1,665.31","1,668.40","1,684.44","1,660.45","","-0.16%"
"2022- 10- 10","1,667.96","1,696.80","1,700.33","1,665.30","","-1.57%"
"2022- 10- 07","1,694.52","1,711.10","1,715.40","1,690.35","","-0.95%"
"2022- 10- 06","1,710.85","1,716.06","1,726.09","1,706.53","","-0.29%"
