날짜,종가_gold,시가_gold,고가_gold,저가_gold,변동 %_gold,종가_PH_gold,시가_PH_gold,고가_PH_gold,저가_PH_gold,변동 %_PH_gold,종가,시가,고가,저가,거래량,변동 %,종가_dollar_c,시가_dollar_c,고가_dollar_c,저가_dollar_c,변동 %_dollar_c,종가_nasdaq_c,시가_nasdaq_c,고가_nasdaq_c,저가_nasdaq_c,거래량_nasdaq_c,변동 %_nasdaq_c,종가_silver_c,시가_silver_c,고가_silver_c,저가_silver_c,거래량_silver_c,변동 %_silver_c,종가_dj,시가_dj,고가_dj,저가_dj,거래량_dj,변동 %_dj,종가_dax,시가_dax,고가_dax,저가_dax,거래량_dax,변동 %_dax,종가_eu50,시가_eu50,고가_eu50,저가_eu50,거래량_eu50,변동 %_eu50,종가_sp,시가_sp,고가_sp,저가_sp,변동 %_sp,종가_WTI,시가_WTI,고가_WTI,저가_WTI,거래량_WTI,변동 %_WTI,종가_cow,시가_cow,고가_cow,저가_cow,거래량_cow,변동 %_cow,종가_cu,시가_cu,고가_cu,저가_cu,거래량_cu,변동 %_cu
2017-01-02,1150.52,1150.55,1152.66,1149.66,-0.12,82.01,79.46,82.1,79.45,3.99,33.79,33.29,34.15,33.12,8.0,1.65,102.83,102.38,102.94,102.21,0.61,5429.08,5425.62,5452.56,5397.99,450.68,0.85,16.409,15.97,16.55,15.935,81.14,2.63,19881.76,19872.86,19938.53,19775.93,339.18,0.6,11598.33,11426.38,11617.28,11414.82,48.92,1.02,3308.67,3278.84,3314.06,3272.76,20.23,0.55,2257.83,2251.57,2263.88,2245.13,0.85,53.18,52.85,53.39,52.82,480.84,0.13,131.0,130.9,131.57,130.55,0.81,0.05,2.6445,2.639,2.655,2.615,73.65,0.53
2017-01-03,1158.91,1150.8,1163.61,1145.77,0.73,82.01,79.46,82.1,79.45,3.99,33.79,33.29,34.15,33.12,8.0,1.65,103.21,102.88,103.82,102.59,0.37,5429.08,5425.62,5452.56,5397.99,450.68,0.85,16.409,15.97,16.55,15.935,81.14,2.63,19881.76,19872.86,19938.53,19775.93,339.18,0.6,11584.24,11631.7,11637.37,11561.23,91.15,-0.12,3315.02,3316.53,3334.44,3310.46,40.09,0.19,2257.83,2251.57,2263.88,2245.13,0.85,53.18,52.85,53.39,52.82,480.84,0.13,131.0,130.9,131.57,130.55,0.81,0.05,2.6445,2.639,2.655,2.615,73.65,0.53
2017-01-04,1163.8,1159.28,1168.23,1156.35,0.42,83.39,83.04,83.46,81.84,1.68,34.11,34.05,34.14,33.36,7.55,0.95,102.7,103.17,103.44,102.39,-0.49,5477.01,5440.91,5482.35,5440.24,455.34,0.88,16.552,16.345,16.57,16.3,52.45,0.87,19942.16,19890.94,19956.14,19878.83,280.01,0.3,11584.31,11609.53,11616.09,11531.43,84.72,0.0,3317.52,3316.78,3325.5,3302.99,40.42,0.08,2270.75,2261.6,2272.82,2261.6,0.57,52.65,52.97,53.21,52.55,326.34,-1.0,131.95,131.1,132.18,131.0,1.25,0.73,2.631,2.651,2.6525,2.617,49.01,-0.51
2017-01-05,1180.48,1163.67,1184.99,1162.38,1.43,87.93,84.7,88.42,84.7,5.44,35.68,34.73,36.34,34.72,10.49,4.6,101.52,102.45,102.51,101.3,-1.15,5487.94,5474.39,5495.85,5464.36,423.64,0.2,16.637,16.495,16.76,16.455,67.64,0.51,19899.29,19924.56,19948.6,19811.12,269.92,-0.21,11584.94,11537.73,11602.54,11537.4,77.24,0.01,3316.47,3306.31,3323.16,3300.77,36.25,-0.03,2269.0,2268.18,2271.5,2260.45,-0.08,52.41,52.75,52.85,52.1,202.04,-0.46,133.1,132.1,133.2,131.7,1.22,0.87,2.632,2.635,2.6375,2.5665,96.55,0.04
2017-01-06,1172.81,1180.38,1181.49,1170.37,-0.65,85.31,86.72,87.87,83.9,-2.98,34.56,35.12,35.6,34.14,7.38,-3.14,102.22,101.4,102.29,101.37,0.69,5521.06,5499.08,5536.52,5482.81,382.85,0.6,16.519,16.635,16.715,16.26,68.14,-0.71,19963.8,19906.96,19999.63,19834.08,277.7,0.32,11599.01,11560.52,11605.74,11547.05,69.16,0.12,3321.17,3311.35,3322.6,3299.66,28.74,0.14,2276.98,2271.14,2282.1,2264.06,0.35,50.44,52.36,52.65,50.09,133.17,-3.76,132.78,132.97,132.97,132.18,1.17,-0.24,2.676,2.6375,2.678,2.615,75.55,1.67
2017-01-09,1181.27,1172.64,1185.91,1171.89,0.72,85.4,86.22,87.03,84.9,0.11,34.5,35.2,35.28,34.35,9.03,-0.17,101.93,102.25,102.52,101.8,-0.28,5531.82,5527.57,5541.08,5517.14,433.1,0.19,16.683,16.52,16.735,16.455,46.5,0.99,19887.38,19931.41,19943.78,19887.38,287.51,-0.38,11563.99,11606.89,11606.89,11522.35,81.16,-0.3,3308.97,3324.45,3326.31,3296.53,34.79,-0.37,2268.9,2273.59,2275.49,2268.9,-0.35,50.27,50.63,50.97,50.18,33.75,-0.34,132.43,132.75,133.07,132.3,1.02,-0.26,2.6775,2.668,2.687,2.657,71.49,0.06
2017-01-10,1187.74,1181.32,1190.57,1179.86,0.55,86.5,86.01,87.9,85.42,1.29,34.23,34.78,35.29,34.0,7.58,-0.78,102.01,101.85,102.1,101.51,0.08,5551.82,5536.54,5564.25,5528.11,431.57,0.36,16.848,16.615,16.955,16.575,69.88,0.99,19855.53,19876.35,19957.12,19836.03,299.41,-0.16,11583.3,11583.24,11606.95,11544.99,88.74,0.17,3306.21,3310.63,3318.24,3295.5,35.14,-0.08,2268.9,2269.72,2279.27,2265.27,0.0,49.62,50.71,50.93,49.2,687.47,-1.29,132.38,132.57,132.75,132.25,1.3,-0.04,2.6785,2.6735,2.721,2.6735,0.25,0.04
2017-01-11,1191.85,1187.74,1198.79,1177.33,0.35,86.41,85.97,87.32,83.97,-0.1,33.53,33.93,33.94,32.7,10.8,-2.04,101.78,102.07,102.95,101.28,-0.23,5563.65,5550.72,5564.08,5524.03,435.71,0.21,16.828,16.84,16.905,16.56,82.62,-0.12,19954.28,19887.38,19973.42,19833.16,336.15,0.5,11646.17,11587.53,11692.27,11524.99,101.23,0.54,3307.94,3306.82,3324.52,3285.21,42.21,0.05,2275.32,2268.6,2275.32,2260.83,0.28,49.23,49.68,50.22,49.03,517.9,-0.79,131.82,132.2,132.2,131.78,1.05,-0.42,2.66,2.6845,2.6865,2.644,0.6,-0.69
2017-01-12,1195.66,1191.75,1207.07,1191.0,0.32,86.22,87.57,88.79,85.4,-0.22,33.63,34.36,34.49,33.31,7.44,0.3,101.35,101.67,101.8,100.72,-0.42,5547.49,5542.56,5550.67,5496.82,394.73,-0.29,16.825,16.77,17.02,16.755,63.04,-0.02,19891.0,19926.21,19929.29,19770.47,306.29,-0.32,11521.04,11599.24,11606.43,11491.87,101.6,-1.07,3286.7,3299.74,3305.75,3281.37,41.27,-0.64,2270.44,2271.14,2271.78,2254.25,-0.21,49.56,49.22,49.83,48.87,587.24,0.67,127.45,126.9,127.58,126.1,4.56,-3.32,2.612,2.658,2.6625,2.612,0.39,-1.8
2017-01-13,1197.66,1195.96,1201.2,1187.93,0.17,87.04,85.33,87.27,84.38,0.95,33.69,33.17,33.81,32.93,5.21,0.18,101.18,101.51,101.67,101.01,-0.17,5574.12,5557.57,5584.26,5557.2,357.66,0.48,16.765,16.805,16.855,16.61,60.84,-0.36,19885.73,19912.54,19952.03,19849.38,263.78,-0.03,11629.18,11576.78,11635.55,11554.45,82.61,0.94,3324.34,3296.78,3326.97,3296.43,37.35,1.15,2274.64,2272.74,2278.68,2271.51,0.18,49.62,49.36,50.2,48.94,655.72,0.12,123.9,125.2,125.2,123.5,5.38,-2.79,2.621,2.613,2.628,2.61,0.07,0.34
