"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 12- 30","221.26","221.26","221.26","221.26","","-1.14%"
"2022- 12- 29","223.81","223.81","223.81","223.81","","0.73%"
"2022- 12- 28","222.19","222.19","222.19","222.19","","-0.63%"
"2022- 12- 27","223.60","223.60","223.60","223.60","","0.12%"
"2022- 12- 23","223.33","223.33","223.33","223.33","","0.39%"
"2022- 12- 22","222.47","222.47","222.47","222.47","","-0.79%"
"2022- 12- 21","224.25","224.25","224.25","224.25","","1.65%"
"2022- 12- 20","220.62","220.62","220.62","220.62","","-0.04%"
"2022- 12- 19","220.70","220.70","220.70","220.70","","0.39%"
"2022- 12- 16","219.84","219.84","219.84","219.84","","-1.36%"
"2022- 12- 15","222.88","222.88","222.88","222.88","","-2.40%"
"2022- 12- 14","228.36","228.36","228.36","228.36","","0.00%"
"2022- 12- 13","228.36","228.36","228.36","228.36","","1.14%"
"2022- 12- 12","225.79","225.79","225.79","225.79","","-0.77%"
"2022- 12- 09","227.55","227.55","227.55","227.55","","0.77%"
"2022- 12- 08","225.81","225.81","225.81","225.81","","-0.37%"
"2022- 12- 07","226.65","226.65","226.65","226.65","","-0.49%"
"2022- 12- 06","227.76","227.76","227.76","227.76","","-0.21%"
"2022- 12- 05","228.24","228.24","228.24","228.24","","-0.47%"
"2022- 12- 02","229.31","229.31","229.31","229.31","","0.21%"
"2022- 12- 01","228.83","228.83","228.83","228.83","","0.80%"
"2022- 11- 30","227.02","227.02","227.02","227.02","","-0.06%"
"2022- 11- 29","227.15","227.15","227.15","227.15","","0.22%"
"2022- 11- 28","226.65","226.65","226.65","226.65","","-0.92%"
"2022- 11- 25","228.76","228.76","228.76","228.76","","0.24%"
"2022- 11- 24","228.21","228.21","228.21","228.21","","0.64%"
"2022- 11- 23","226.77","226.77","226.77","226.77","","0.00%"
"2022- 11- 22","226.77","226.77","226.77","226.77","","0.72%"
"2022- 11- 21","225.15","225.15","225.15","225.15","","-0.21%"
"2022- 11- 18","225.63","225.63","225.63","225.63","","1.31%"
"2022- 11- 17","222.72","222.72","222.72","222.72","","-1.08%"
"2022- 11- 16","225.15","225.14","225.15","225.14","","-0.59%"
"2022- 11- 15","226.48","226.48","226.48","226.48","","0.28%"
"2022- 11- 14","225.84","225.84","225.84","225.84","","0.62%"
"2022- 11- 11","224.44","224.44","224.44","224.44","","-0.12%"
"2022- 11- 10","224.70","224.70","224.70","224.70","","1.60%"
"2022- 11- 09","221.16","221.16","221.16","221.16","","0.40%"
"2022- 11- 08","220.28","220.28","220.28","220.28","","0.65%"
"2022- 11- 07","218.85","218.85","218.85","218.85","","0.59%"
