date,close,open,high,low,volatility
2017-01-02,0.956,0.9496,0.957,0.9489,0.54
2017-01-03,0.961,0.9567,0.9671,0.9532,0.52
2017-01-04,0.9534,0.9609,0.9627,0.9524,-0.79
2017-01-05,0.9427,0.9534,0.9545,0.9422,-1.12
2017-01-06,0.9494,0.9427,0.9504,0.9416,0.71
2017-01-09,0.9457,0.9489,0.9516,0.9449,-0.39
2017-01-10,0.9474,0.9457,0.948,0.9411,0.18
2017-01-11,0.9449,0.9475,0.9566,0.9412,-0.26
2017-01-12,0.9423,0.9451,0.9462,0.936,-0.28
2017-01-13,0.9395,0.9425,0.944,0.9371,-0.3
2017-01-16,0.9432,0.9418,0.9455,0.9402,0.39
2017-01-17,0.9334,0.9434,0.9438,0.9328,-1.04
2017-01-18,0.9406,0.9335,0.9409,0.9329,0.77
2017-01-19,0.9377,0.9407,0.9444,0.9365,-0.31
2017-01-20,0.9344,0.9378,0.9415,0.9338,-0.35
2017-01-23,0.929,0.9355,0.9358,0.9286,-0.58
2017-01-24,0.9319,0.9289,0.9328,0.9278,0.31
2017-01-25,0.9304,0.9321,0.9338,0.9286,-0.16
2017-01-26,0.9361,0.9307,0.9385,0.929,0.61
2017-01-27,0.9346,0.9364,0.9387,0.9326,-0.16
2017-01-30,0.9351,0.9355,0.9418,0.9311,0.05
2017-01-31,0.9261,0.9347,0.9361,0.9249,-0.96
2017-02-01,0.9286,0.9264,0.9319,0.9253,0.27
2017-02-02,0.9295,0.9286,0.9297,0.9233,0.1
2017-02-03,0.9273,0.9297,0.9337,0.9261,-0.24
2017-02-06,0.9302,0.9272,0.9342,0.9254,0.31
2017-02-07,0.9361,0.9303,0.9385,0.9301,0.63
2017-02-08,0.9346,0.9365,0.9401,0.9335,-0.16
2017-02-09,0.9385,0.9345,0.9391,0.9336,0.42
2017-02-10,0.9397,0.9386,0.9429,0.9375,0.13
2017-02-13,0.9435,0.9402,0.9443,0.9383,0.4
2017-02-14,0.9454,0.9434,0.9469,0.9402,0.2
2017-02-15,0.9433,0.9454,0.9507,0.9427,-0.22
2017-02-16,0.9369,0.9432,0.9444,0.9364,-0.68
2017-02-17,0.9422,0.9371,0.9432,0.9366,0.57
2017-02-20,0.9422,0.9422,0.9434,0.9406,0.0
2017-02-21,0.949,0.9418,0.9501,0.9417,0.72
2017-02-22,0.9473,0.949,0.953,0.9455,-0.18
2017-02-23,0.945,0.9471,0.9491,0.9439,-0.24
2017-02-24,0.9467,0.9451,0.9474,0.9419,0.18
2017-02-27,0.9446,0.9466,0.9478,0.9406,-0.22
2017-02-28,0.9455,0.9446,0.9462,0.9407,0.1
2017-03-01,0.9481,0.9454,0.9511,0.9442,0.27
2017-03-02,0.9517,0.9482,0.9527,0.9474,0.38
2017-03-03,0.9414,0.9519,0.9524,0.9413,-1.08
2017-03-06,0.945,0.9421,0.9459,0.9399,0.38
2017-03-07,0.9464,0.9451,0.9473,0.9432,0.15
2017-03-08,0.9487,0.9465,0.9494,0.9457,0.24
2017-03-09,0.9455,0.9487,0.9503,0.9421,-0.34
2017-03-10,0.9371,0.9455,0.946,0.9346,-0.89
2017-03-13,0.9386,0.9367,0.9387,0.9333,0.16
2017-03-14,0.9431,0.9387,0.9435,0.9377,0.48
2017-03-15,0.9316,0.9431,0.9432,0.931,-1.22
2017-03-16,0.9288,0.9315,0.9342,0.9284,-0.3
2017-03-17,0.9313,0.9287,0.9323,0.9274,0.27
2017-03-20,0.9312,0.9314,0.9326,0.9279,-0.01
2017-03-21,0.925,0.9312,0.9331,0.9244,-0.67
2017-03-22,0.9262,0.925,0.9281,0.9237,0.13
2017-03-23,0.9274,0.9263,0.9288,0.9255,0.13
2017-03-24,0.9261,0.9274,0.9295,0.9244,-0.14
2017-03-27,0.9204,0.9264,0.9264,0.917,-0.62
2017-03-28,0.9248,0.9204,0.9261,0.9196,0.48
2017-03-29,0.9288,0.9247,0.9311,0.9235,0.43
2017-03-30,0.9367,0.9288,0.9371,0.9284,0.85
2017-03-31,0.9387,0.937,0.939,0.9344,0.21
2017-04-03,0.9374,0.9379,0.9397,0.9363,-0.14
2017-04-04,0.9369,0.937,0.9402,0.9363,-0.05
2017-04-05,0.9377,0.9366,0.9402,0.9355,0.09
2017-04-06,0.9395,0.9379,0.9409,0.9361,0.19
2017-04-07,0.9443,0.9395,0.9453,0.9375,0.51
2017-04-10,0.9437,0.9441,0.9463,0.9429,-0.06
2017-04-11,0.9432,0.9435,0.9454,0.9406,-0.05
2017-04-12,0.9375,0.9432,0.9445,0.9366,-0.6
2017-04-13,0.9422,0.9375,0.9425,0.9364,0.5
2017-04-14,0.9424,0.9422,0.943,0.9405,0.02
2017-04-17,0.9395,0.9422,0.9433,0.9372,-0.31
2017-04-18,0.9319,0.9398,0.9402,0.9314,-0.81
2017-04-19,0.9336,0.9317,0.9347,0.9314,0.18
2017-04-20,0.9331,0.9334,0.9338,0.9276,-0.05
2017-04-21,0.9322,0.9329,0.9363,0.9314,-0.1
2017-04-24,0.9202,0.9153,0.9242,0.9143,-1.29
2017-04-25,0.9153,0.9202,0.9215,0.9132,-0.53
2017-04-26,0.9172,0.9152,0.9212,0.9131,0.21
2017-04-27,0.9197,0.9171,0.9216,0.9146,0.27
2017-04-28,0.9177,0.9195,0.9212,0.9135,-0.22
2017-05-01,0.9175,0.9168,0.9188,0.9153,-0.02
2017-05-02,0.9149,0.9176,0.9186,0.9146,-0.28
2017-05-03,0.9186,0.9151,0.9192,0.9144,0.4
2017-05-04,0.9103,0.9185,0.9195,0.91,-0.9
2017-05-05,0.9093,0.91,0.9134,0.909,-0.11
2017-05-08,0.9154,0.9091,0.9162,0.907,0.67
2017-05-09,0.9196,0.9153,0.9206,0.9145,0.46
2017-05-10,0.9202,0.9196,0.9214,0.9174,0.07
2017-05-11,0.9206,0.92,0.9225,0.918,0.04
2017-05-12,0.9149,0.9207,0.9214,0.9145,-0.62
2017-05-15,0.9112,0.9152,0.9156,0.91,-0.4
2017-05-16,0.9023,0.9112,0.9113,0.9009,-0.98
2017-05-17,0.8962,0.9022,0.9024,0.8958,-0.68
2017-05-18,0.9006,0.8962,0.9031,0.8951,0.49
2017-05-19,0.8923,0.9006,0.9013,0.8919,-0.92
2017-05-22,0.8899,0.8925,0.896,0.8877,-0.27
2017-05-23,0.8942,0.8898,0.8949,0.8874,0.48
2017-05-24,0.8913,0.8942,0.8954,0.8911,-0.32
2017-05-25,0.8921,0.8914,0.8934,0.8889,0.09
2017-05-26,0.8942,0.892,0.8961,0.8901,0.24
2017-05-29,0.8958,0.8944,0.8961,0.8935,0.18
2017-05-30,0.894,0.8954,0.9002,0.8924,-0.2
2017-05-31,0.8894,0.894,0.8959,0.8887,-0.51
2017-06-01,0.8919,0.8892,0.8928,0.8883,0.28
2017-06-02,0.8863,0.8919,0.8927,0.8861,-0.63
2017-06-05,0.8885,0.8866,0.8903,0.8861,0.25
2017-06-06,0.8867,0.8885,0.8898,0.8863,-0.2
2017-06-07,0.8883,0.8869,0.8927,0.8862,0.18
2017-06-08,0.8918,0.8883,0.8933,0.8873,0.39
2017-06-09,0.8932,0.892,0.8958,0.8899,0.16
2017-06-12,0.8927,0.8933,0.8937,0.8904,-0.06
2017-06-13,0.892,0.8925,0.8941,0.8908,-0.08
2017-06-14,0.8914,0.892,0.8934,0.8852,-0.07
2017-06-15,0.8972,0.8914,0.8984,0.8907,0.65
2017-06-16,0.8931,0.8972,0.8978,0.8925,-0.46
2017-06-19,0.897,0.8929,0.8974,0.8915,0.44
2017-06-20,0.8981,0.897,0.8995,0.8956,0.12
2017-06-21,0.8954,0.8982,0.8988,0.8951,-0.3
2017-06-22,0.8967,0.8953,0.8979,0.8947,0.15
2017-06-23,0.8933,0.8965,0.8973,0.8921,-0.38
2017-06-26,0.8943,0.8928,0.8953,0.8913,0.11
2017-06-27,0.882,0.8942,0.8946,0.881,-1.38
2017-06-28,0.8789,0.8821,0.8858,0.8779,-0.35
2017-06-29,0.874,0.8788,0.8791,0.8736,-0.56
2017-06-30,0.8752,0.8742,0.8779,0.8737,0.14
2017-07-03,0.8799,0.8756,0.8809,0.8751,0.54
2017-07-04,0.8814,0.88,0.8824,0.8791,0.17
2017-07-05,0.8809,0.8815,0.8841,0.8796,-0.06
2017-07-06,0.8754,0.8809,0.8828,0.8751,-0.62
2017-07-07,0.8771,0.8755,0.8788,0.874,0.19
2017-07-10,0.8772,0.8778,0.8788,0.8759,0.01
2017-07-11,0.872,0.8772,0.8787,0.871,-0.59
2017-07-12,0.8762,0.8722,0.878,0.8703,0.48
2017-07-13,0.8773,0.8764,0.8797,0.8731,0.13
2017-07-14,0.872,0.8773,0.878,0.8717,-0.6
2017-07-17,0.8712,0.8721,0.8745,0.8704,-0.09
2017-07-18,0.8655,0.8712,0.8719,0.8634,-0.65
2017-07-19,0.8684,0.8655,0.8688,0.8651,0.34
2017-07-20,0.8598,0.8684,0.8714,0.8581,-0.99
2017-07-21,0.8575,0.8598,0.8608,0.8559,-0.27
2017-07-24,0.859,0.8578,0.8604,0.856,0.17
2017-07-25,0.8586,0.8588,0.8599,0.8538,-0.05
2017-07-26,0.8522,0.8582,0.8611,0.8518,-0.75
2017-07-27,0.8564,0.8522,0.8584,0.8491,0.49
2017-07-28,0.8509,0.8563,0.8569,0.85,-0.64
2017-07-31,0.8445,0.8519,0.8531,0.8441,-0.75
2017-08-01,0.8474,0.8444,0.8486,0.844,0.34
2017-08-02,0.8435,0.8474,0.848,0.8397,-0.46
2017-08-03,0.8425,0.8436,0.8454,0.8408,-0.12
2017-08-04,0.8495,0.8425,0.8529,0.8413,0.83
2017-08-07,0.8478,0.8498,0.85,0.8465,-0.2
2017-08-08,0.8508,0.8478,0.8537,0.8458,0.35
2017-08-09,0.8505,0.8511,0.8556,0.8499,-0.04
2017-08-10,0.8495,0.8505,0.8545,0.8485,-0.12
2017-08-11,0.846,0.8493,0.8511,0.844,-0.41
2017-08-14,0.8489,0.8468,0.8497,0.8446,0.34
2017-08-15,0.8521,0.8489,0.8558,0.8479,0.38
2017-08-16,0.8498,0.8521,0.8562,0.8489,-0.27
2017-08-17,0.8529,0.8496,0.8575,0.848,0.36
2017-08-18,0.8502,0.853,0.8541,0.8493,-0.32
2017-08-21,0.8464,0.8507,0.8525,0.8454,-0.45
2017-08-22,0.8502,0.8463,0.8515,0.8456,0.45
2017-08-23,0.8469,0.8502,0.8518,0.8458,-0.39
2017-08-24,0.8476,0.8469,0.8487,0.8458,0.08
2017-08-25,0.8387,0.8475,0.8494,0.8373,-1.05
2017-08-28,0.8348,0.8385,0.8392,0.8344,-0.47
2017-08-29,0.8353,0.8347,0.837,0.8285,0.06
2017-08-30,0.8415,0.8353,0.8418,0.8345,0.74
2017-08-31,0.8397,0.8417,0.8458,0.8395,-0.21
2017-09-01,0.8433,0.8397,0.8439,0.8347,0.43
2017-09-04,0.8406,0.8432,0.8436,0.8387,-0.32
2017-09-05,0.8394,0.8407,0.8427,0.8375,-0.14
2017-09-06,0.8391,0.8394,0.8403,0.8368,-0.04
2017-09-07,0.8317,0.8393,0.8395,0.8293,-0.88
2017-09-08,0.8309,0.8317,0.8323,0.8269,-0.1
2017-09-11,0.8367,0.8306,0.8371,0.8306,0.7
2017-09-12,0.8357,0.8366,0.8385,0.8348,-0.12
2017-09-13,0.8413,0.8356,0.8423,0.8336,0.67
2017-09-14,0.839,0.8414,0.8448,0.8387,-0.27
2017-09-15,0.8374,0.839,0.8404,0.8343,-0.19
2017-09-18,0.8366,0.8369,0.8394,0.8355,-0.1
2017-09-19,0.8337,0.8365,0.8369,0.8328,-0.35
2017-09-20,0.8408,0.8337,0.8431,0.831,0.85
2017-09-21,0.8374,0.8409,0.8428,0.8366,-0.4
2017-09-22,0.8369,0.8375,0.8378,0.833,-0.06
2017-09-25,0.844,0.8367,0.8452,0.836,0.85
2017-09-26,0.8479,0.8441,0.8506,0.843,0.46
2017-09-27,0.8515,0.8479,0.8535,0.8478,0.42
2017-09-28,0.8485,0.8516,0.8534,0.8471,-0.35
2017-09-29,0.8465,0.8485,0.8496,0.8451,-0.24
2017-10-02,0.8523,0.8462,0.8525,0.8462,0.69
2017-10-03,0.8515,0.8523,0.855,0.8494,-0.09
2017-10-04,0.8503,0.8515,0.8522,0.8483,-0.14
2017-10-05,0.8539,0.8503,0.8548,0.8489,0.42
2017-10-06,0.8522,0.8538,0.8569,0.8518,-0.2
2017-10-09,0.8518,0.8526,0.8535,0.8507,-0.05
2017-10-10,0.847,0.8516,0.8518,0.8455,-0.56
2017-10-11,0.8433,0.8468,0.8478,0.8425,-0.44
2017-10-12,0.8452,0.8431,0.8456,0.8417,0.23
2017-10-13,0.8458,0.8453,0.8471,0.8421,0.07
2017-10-16,0.8477,0.8457,0.8489,0.8456,0.22
