date,close,open,high,low,volatility
2017-01-02,17.96,19.03,19.03,17.88,-0.88
2017-01-03,17.35,17.82,17.94,17.35,-3.4
2017-01-04,16.46,17.31,17.37,16.44,-5.13
2017-01-05,15.98,16.63,16.63,15.95,-2.92
2017-01-06,15.34,16.25,16.27,15.3,-4.01
2017-01-09,15.51,16.02,16.32,15.47,1.11
2017-01-10,15.35,15.51,15.62,14.99,-1.03
2017-01-11,15.7,15.53,16.16,15.31,2.28
2017-01-12,16.29,15.84,16.58,15.77,3.76
2017-01-13,14.86,15.96,15.96,14.86,-8.78
2017-01-16,15.47,15.71,15.91,15.39,4.1
2017-01-17,15.67,15.92,16.62,15.65,1.29
2017-01-18,14.85,15.63,15.79,14.85,-5.23
2017-01-19,14.85,14.96,15.28,14.57,0.0
2017-01-20,14.6,15.06,15.08,14.48,-1.68
2017-01-23,17.11,15.92,17.33,15.36,17.19
2017-01-24,16.31,16.93,17.08,16.28,-4.68
2017-01-25,15.7,16.0,16.0,15.52,-3.74
2017-01-26,15.61,15.6,15.72,15.25,-0.57
2017-01-27,15.85,15.74,16.27,15.52,1.54
2017-01-30,17.47,16.84,17.76,16.84,10.22
2017-01-31,17.37,17.34,17.44,16.42,-0.57
2017-02-01,16.64,16.76,16.96,16.22,-4.2
2017-02-02,16.19,16.56,16.61,16.04,-2.7
2017-02-03,15.13,15.81,15.83,15.07,-6.55
2017-02-06,16.43,15.86,16.64,15.34,8.59
2017-02-07,16.91,16.53,16.94,16.18,2.92
2017-02-08,16.83,16.61,17.8,16.57,-0.47
2017-02-09,15.3,16.52,16.55,15.23,-9.09
2017-02-10,15.11,15.05,15.3,14.78,-1.24
2017-02-13,14.8,15.33,15.37,14.69,-2.05
2017-02-14,14.65,15.04,15.12,14.61,-1.01
2017-02-15,14.68,14.49,14.92,14.33,0.2
2017-02-16,15.4,14.72,15.49,14.72,4.9
2017-02-17,14.83,15.36,16.02,14.74,-3.7
2017-02-20,14.89,14.86,15.0,14.77,0.4
2017-02-21,14.57,15.11,15.38,14.37,-2.15
2017-02-22,14.86,14.49,15.49,14.33,1.99
2017-02-23,15.46,14.87,15.46,14.46,4.04
2017-02-24,15.86,15.29,17.28,15.26,2.59
2017-02-27,16.04,16.17,16.48,16.02,1.13
2017-02-28,16.28,16.24,16.55,16.13,1.5
2017-03-01,15.39,15.7,15.71,15.06,-5.47
2017-03-02,15.28,15.63,15.71,15.19,-0.71
2017-03-03,15.27,15.44,15.55,14.94,-0.07
2017-03-06,15.77,15.94,16.14,15.64,3.27
2017-03-07,15.37,15.74,15.8,15.2,-2.54
2017-03-08,14.98,15.25,15.3,14.71,-2.54
2017-03-09,15.21,15.28,15.43,15.0,1.54
2017-03-10,15.34,15.33,15.49,15.03,0.85
2017-03-13,15.58,15.99,16.01,15.54,1.56
2017-03-14,15.97,15.62,16.29,15.61,2.5
2017-03-15,15.6,15.76,15.81,15.1,-2.32
2017-03-16,11.52,11.99,12.28,11.47,-26.15
2017-03-17,11.16,11.73,11.73,10.81,-3.13
2017-03-20,13.08,12.87,13.11,12.62,17.2
2017-03-21,13.77,13.03,13.98,12.59,5.28
2017-03-22,14.51,15.12,15.48,14.15,5.37
2017-03-23,15.1,14.91,15.13,14.68,4.07
2017-03-24,15.2,15.44,15.5,15.07,0.66
2017-03-27,16.35,17.0,17.23,16.35,7.57
2017-03-28,15.86,16.21,16.34,15.74,-3.0
2017-03-29,15.93,15.95,16.26,15.84,0.44
2017-03-30,16.1,16.16,16.38,16.07,1.07
2017-03-31,16.52,16.48,16.87,16.32,2.61
2017-04-03,17.96,17.7,18.06,17.46,8.72
2017-04-04,18.0,18.09,18.33,17.94,0.22
2017-04-05,18.52,18.07,18.52,17.85,2.89
2017-04-06,18.87,19.41,19.51,18.48,1.89
2017-04-07,19.54,19.5,19.86,19.38,3.55
2017-04-10,22.09,20.72,22.1,20.65,13.05
2017-04-11,22.95,22.85,23.93,22.64,3.89
2017-04-12,22.72,22.94,23.1,22.41,-1.0
2017-04-13,23.39,23.48,23.61,22.65,2.95
2017-04-18,25.59,24.72,26.39,24.7,9.41
2017-04-19,24.2,25.65,25.65,24.18,-5.43
2017-04-20,24.9,24.2,24.98,23.38,2.89
2017-04-21,25.09,25.58,25.95,24.63,0.76
2017-04-24,16.25,17.87,18.07,16.16,-35.23
2017-04-25,15.42,15.81,15.95,15.42,-5.11
2017-04-26,15.58,15.22,15.63,14.91,1.04
2017-04-27,16.11,15.75,16.4,15.75,3.4
2017-04-28,17.05,16.09,17.37,16.08,5.83
2017-05-02,17.27,17.52,17.7,17.23,1.29
2017-05-03,17.4,17.45,17.54,17.09,0.75
2017-05-04,16.48,16.8,17.04,16.1,-5.29
2017-05-05,17.01,16.61,17.31,16.52,3.22
2017-05-08,14.39,14.19,14.51,13.84,-15.4
2017-05-09,14.09,14.02,14.18,13.58,-2.08
2017-05-10,14.07,14.21,14.37,13.87,-0.14
2017-05-11,14.35,14.13,14.79,13.63,1.99
2017-05-12,13.87,14.05,14.26,13.74,-3.34
2017-05-15,14.2,14.23,14.72,14.1,2.38
2017-05-16,13.54,14.1,14.11,13.51,-4.65
2017-05-17,16.14,14.1,16.79,13.61,19.2
2017-05-18,17.08,15.98,19.57,15.98,5.82
2017-05-19,15.47,16.68,16.68,15.37,-9.43
2017-05-22,14.83,15.83,16.17,14.74,-4.14
2017-05-23,13.84,14.51,14.51,13.81,-6.68
2017-05-24,13.88,14.05,14.05,13.45,0.29
2017-05-25,13.96,13.7,14.47,13.66,0.58
2017-05-26,13.85,13.99,14.91,13.76,-0.79
2017-05-29,14.18,14.41,14.56,14.18,2.38
2017-05-30,14.47,14.91,15.01,14.25,2.05
2017-05-31,14.55,14.32,14.74,13.85,0.55
2017-06-01,13.62,14.34,14.4,13.56,-6.39
2017-06-02,13.33,13.37,13.78,13.26,-2.13
2017-06-05,13.94,13.77,14.09,13.74,4.58
2017-06-06,14.39,14.27,14.68,14.04,3.23
2017-06-07,14.61,14.73,14.76,14.03,1.53
2017-06-08,14.08,14.51,14.62,14.01,-3.63
2017-06-09,13.39,13.43,13.99,13.24,-4.9
2017-06-12,14.51,14.02,14.82,13.89,8.36
2017-06-13,13.56,14.12,14.19,13.46,-6.55
2017-06-14,13.95,13.3,14.19,12.96,2.88
2017-06-15,14.94,14.21,15.93,14.13,7.1
2017-06-16,13.74,14.15,14.54,13.67,-8.03
2017-06-19,13.03,13.32,13.57,12.74,-5.17
2017-06-20,14.03,12.9,14.13,12.74,7.67
2017-06-21,14.18,15.9,15.94,13.57,1.07
2017-06-22,14.03,14.8,15.06,13.91,-1.06
2017-06-23,14.22,14.15,14.76,13.79,1.35
2017-06-26,13.66,13.94,13.98,13.13,-3.94
2017-06-27,14.77,14.24,14.84,13.84,8.13
2017-06-28,14.85,15.63,16.19,14.59,0.54
2017-06-29,17.6,14.46,17.96,14.31,18.52
2017-06-30,17.25,17.14,17.53,16.13,-1.99
2017-07-03,14.49,16.59,16.75,14.45,-16.0
2017-07-04,14.39,14.68,14.83,14.25,-0.69
2017-07-05,14.7,14.85,15.26,14.39,2.15
2017-07-06,15.47,14.89,16.47,14.62,5.24
2017-07-07,15.18,15.61,15.83,15.1,-1.87
2017-07-10,14.78,15.18,15.31,14.62,-2.64
2017-07-11,14.77,14.44,14.91,14.27,-0.07
2017-07-12,13.75,14.28,14.33,13.67,-6.91
2017-07-13,13.12,13.7,13.76,13.1,-4.58
2017-07-14,12.65,13.13,13.21,12.55,-3.58
2017-07-17,12.63,12.93,13.52,12.61,-0.16
2017-07-18,13.68,13.11,13.94,12.6,8.31
2017-07-19,13.27,13.44,13.76,12.89,-3.0
2017-07-20,13.09,12.92,13.75,12.48,-1.36
2017-07-21,15.33,13.15,15.84,12.62,17.11
2017-07-24,15.08,15.9,15.9,14.81,-1.63
