"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 12- 30","103.52","103.95","104.10","103.39","","-0.30%"
"2022- 12- 29","103.84","104.37","104.45","103.78","","-0.60%"
"2022- 12- 28","104.46","104.33","104.56","103.85","","0.27%"
"2022- 12- 27","104.18","104.12","104.40","103.89","","-0.14%"
"2022- 12- 25","104.32","104.32","104.32","104.32","","0.01%"
"2022- 12- 23","104.31","104.39","104.54","104.12","","-0.11%"
"2022- 12- 22","104.43","104.22","104.60","103.75","","0.26%"
"2022- 12- 21","104.16","103.95","104.38","103.85","","0.19%"
"2022- 12- 20","103.96","104.73","104.79","103.78","","-0.72%"
"2022- 12- 19","104.72","104.84","104.93","104.13","","0.02%"
"2022- 12- 16","104.70","104.45","104.84","104.21","","0.14%"
"2022- 12- 15","104.56","103.67","104.88","103.54","","0.76%"
"2022- 12- 14","103.77","104.07","104.16","103.45","","-0.20%"
"2022- 12- 13","103.98","104.99","105.10","103.59","","-1.09%"
"2022- 12- 12","105.13","104.93","105.25","104.67","","0.31%"
"2022- 12- 09","104.81","104.86","105.14","104.48","","0.03%"
"2022- 12- 08","104.77","105.20","105.43","104.72","","-0.31%"
"2022- 12- 07","105.10","105.63","105.82","104.88","","-0.45%"
"2022- 12- 06","105.58","105.16","105.63","104.89","","0.27%"
"2022- 12- 05","105.29","104.51","105.40","104.11","","0.71%"
"2022- 12- 02","104.54","104.82","105.58","104.38","","-0.17%"
"2022- 12- 01","104.73","105.70","105.90","104.66","","-1.15%"
"2022- 11- 30","105.95","106.72","107.19","105.78","","-0.82%"
"2022- 11- 29","106.82","106.57","106.88","106.06","","0.13%"
"2022- 11- 28","106.68","106.06","106.75","105.32","","0.68%"
"2022- 11- 25","105.96","105.96","106.42","105.69","","0.13%"
"2022- 11- 24","105.82","105.99","106.08","105.63","","-0.24%"
"2022- 11- 23","106.08","107.08","107.22","106.03","","-1.07%"
"2022- 11- 22","107.22","107.70","107.75","107.12","","-0.57%"
"2022- 11- 21","107.83","106.97","107.99","106.89","","0.85%"
"2022- 11- 18","106.93","106.69","107.04","106.34","","0.22%"
"2022- 11- 17","106.69","106.27","107.24","106.10","","0.39%"
"2022- 11- 16","106.28","106.58","106.78","105.86","","-0.12%"
"2022- 11- 15","106.40","107.00","107.10","105.34","","-0.24%"
"2022- 11- 14","106.66","106.42","107.27","106.48","","0.35%"
"2022- 11- 11","106.29","108.24","108.44","106.28","","-1.77%"
"2022- 11- 10","108.21","110.30","110.99","107.71","","-2.12%"
"2022- 11- 09","110.55","109.65","110.64","109.45","","0.83%"
"2022- 11- 08","109.64","110.06","110.61","109.37","","-0.44%"
"2022- 11- 07","110.12","110.79","111.27","110.05","","-0.68%"
"2022- 11- 04","110.88","112.97","112.99","110.71","","-1.82%"
"2022- 11- 03","112.93","112.17","113.15","111.82","","1.42%"
"2022- 11- 02","111.35","111.54","112.15","110.43","","-0.12%"
"2022- 11- 01","111.48","111.52","111.78","110.72","","-0.04%"
"2022- 10- 31","111.53","110.67","111.67","110.72","","0.70%"
"2022- 10- 28","110.75","110.50","111.04","110.29","","0.15%"
"2022- 10- 27","110.59","109.62","110.62","109.54","","0.81%"
"2022- 10- 26","109.70","110.96","111.14","109.63","","-1.13%"
"2022- 10- 25","110.95","111.82","112.13","110.76","","-0.93%"
"2022- 10- 24","111.99","111.88","112.53","111.47","","-0.02%"
"2022- 10- 21","112.01","112.94","113.94","111.70","","-0.77%"
"2022- 10- 20","112.88","112.99","113.09","112.17","","-0.09%"
"2022- 10- 19","112.98","111.91","113.10","111.92","","0.76%"
"2022- 10- 18","112.13","112.07","112.46","111.77","","0.08%"
"2022- 10- 17","112.04","113.22","113.22","111.92","","-1.12%"
"2022- 10- 14","113.31","112.47","113.42","112.16","","0.84%"
"2022- 10- 13","112.36","113.24","113.92","112.15","","-0.84%"
"2022- 10- 12","113.32","113.31","113.59","113.05","","0.09%"
"2022- 10- 11","113.22","113.08","113.50","112.41","","0.07%"
"2022- 10- 10","113.14","112.75","113.33","112.62","","0.31%"
"2022- 10- 07","112.79","112.25","112.88","111.95","","0.48%"
"2022- 10- 06","112.26","111.02","112.31","110.78","","1.07%"
"2022- 10- 05","111.07","110.22","111.74","110.09","","0.92%"
"2022- 10- 04","110.07","111.59","111.89","110.06","","-1.50%"
"2022- 10- 03","111.75","112.17","112.54","111.47","","-0.33%"
"2022- 09- 30","112.12","111.75","112.67","111.58","","-0.12%"
"2022- 09- 29","112.25","113.01","113.79","111.77","","-0.31%"
"2022- 09- 28","112.60","114.18","114.78","112.56","","-1.32%"
"2022- 09- 27","114.11","114.02","114.47","113.33","","0.00%"
"2022- 09- 26","114.10","113.02","114.53","112.94","","0.80%"
"2022- 09- 23","113.19","111.24","113.23","111.08","","1.65%"
"2022- 09- 22","111.35","111.48","111.81","110.46","","0.64%"
"2022- 09- 21","110.64","110.16","111.58","110.13","","0.39%"
"2022- 09- 20","110.21","109.58","110.29","109.36","","0.44%"
"2022- 09- 19","109.74","109.64","110.18","109.49","","-0.02%"
"2022- 09- 16","109.76","109.80","110.26","109.47","","0.02%"
"2022- 09- 15","109.74","109.61","109.92","109.42","","0.07%"
"2022- 09- 14","109.66","109.97","109.93","109.28","","-0.14%"
"2022- 09- 13","109.82","108.23","110.01","107.68","","1.37%"
"2022- 09- 12","108.33","108.60","108.86","107.81","","-0.62%"
"2022- 09- 09","109.00","109.57","109.54","108.36","","-0.64%"
"2022- 09- 08","109.71","109.67","110.24","109.33","","-0.12%"
"2022- 09- 07","109.84","110.32","110.79","109.53","","-0.34%"
"2022- 09- 06","110.21","109.60","110.55","109.38","","0.35%"
"2022- 09- 05","109.83","109.61","110.27","109.72","","0.27%"
"2022- 09- 02","109.53","109.64","109.72","108.93","","-0.14%"
"2022- 09- 01","109.69","108.84","109.98","108.77","","0.91%"
"2022- 08- 31","108.70","108.75","109.20","108.38","","-0.07%"
"2022- 08- 30","108.77","108.70","109.11","108.29","","-0.06%"
"2022- 08- 29","108.83","108.84","109.48","108.49","","0.03%"
"2022- 08- 26","108.80","108.47","108.87","107.59","","0.31%"
"2022- 08- 25","108.47","108.63","108.69","107.99","","-0.19%"
"2022- 08- 24","108.68","108.52","109.11","108.36","","0.05%"
"2022- 08- 23","108.62","109.00","109.27","108.08","","-0.39%"
"2022- 08- 22","109.05","108.10","109.10","108.08","","0.81%"
"2022- 08- 19","108.17","107.50","108.21","107.47","","0.64%"
"2022- 08- 18","107.48","106.68","107.56","106.50","","0.85%"
"2022- 08- 17","106.57","106.45","106.89","106.31","","0.07%"
"2022- 08- 16","106.50","106.48","106.94","106.32","","-0.04%"
"2022- 08- 15","106.55","105.67","106.55","105.55","","0.87%"
"2022- 08- 12","105.63","105.16","105.88","105.09","","0.51%"
"2022- 08- 11","105.09","105.21","105.46","104.65","","-0.10%"
"2022- 08- 10","105.20","106.34","106.40","104.64","","-1.11%"
"2022- 08- 09","106.37","106.33","106.41","105.97","","-0.06%"
"2022- 08- 08","106.43","106.58","106.80","106.09","","-0.17%"
"2022- 08- 05","106.62","105.72","106.93","105.69","","0.88%"
"2022- 08- 04","105.69","106.48","106.51","105.67","","-0.76%"
"2022- 08- 03","106.51","106.43","106.82","105.97","","0.25%"
"2022- 08- 02","106.24","105.36","106.35","105.05","","0.75%"
"2022- 08- 01","105.45","105.83","106.03","105.24","","-0.43%"
"2022- 07- 29","105.90","106.21","106.66","105.54","","-0.42%"
"2022- 07- 28","106.35","106.37","106.97","106.06","","-0.09%"
"2022- 07- 27","106.45","107.13","107.43","106.26","","-0.69%"
"2022- 07- 26","107.19","106.45","107.28","106.20","","0.66%"
"2022- 07- 25","106.48","106.54","106.88","106.19","","-0.23%"
"2022- 07- 22","106.73","106.59","107.36","106.11","","-0.17%"
"2022- 07- 21","106.91","107.08","107.32","106.42","","-0.16%"
"2022- 07- 20","107.08","106.67","107.25","106.39","","0.37%"
"2022- 07- 19","106.68","107.49","107.63","106.40","","-0.64%"
"2022- 07- 18","107.37","107.98","108.04","106.89","","-0.64%"
"2022- 07- 15","108.06","108.67","108.71","107.91","","-0.44%"
"2022- 07- 14","108.54","108.14","109.29","108.14","","0.54%"
"2022- 07- 13","107.96","108.18","108.58","107.48","","-0.11%"
"2022- 07- 12","108.07","108.18","108.56","107.84","","0.05%"
"2022- 07- 11","108.02","106.89","108.27","106.92","","0.95%"
"2022- 07- 08","107.01","107.04","107.79","106.81","","-0.11%"
"2022- 07- 07","107.13","107.07","107.24","106.71","","0.03%"
"2022- 07- 06","107.10","106.49","107.26","106.36","","0.53%"
"2022- 07- 05","106.54","105.14","106.79","105.05","","1.33%"
"2022- 07- 04","105.14","105.12","105.25","104.82","","0.00%"
"2022- 07- 01","105.14","104.78","105.64","104.74","","0.43%"
"2022- 06- 30","104.68","105.06","105.54","104.64","","-0.40%"
"2022- 06- 29","105.11","104.46","105.15","104.36","","0.57%"
"2022- 06- 28","104.51","103.97","104.61","103.77","","0.55%"
"2022- 06- 27","103.94","104.12","104.21","103.67","","-0.24%"
"2022- 06- 24","104.18","104.38","104.51","103.95","","-0.24%"
"2022- 06- 23","104.43","104.21","104.77","104.06","","0.22%"
"2022- 06- 22","104.20","104.43","104.95","103.86","","-0.23%"
