date,close,open,high,low,rsi,MACD_12_26,mavg,CSI,kalman
2017-01-02,2026.16,2022.23,2031.79,2015.68,51.84681705881896,1.534583410615623,2436.8444852335165,93.3,1013.08
2017-01-03,2043.97,2034.31,2044.07,2028.47,51.84681705881896,1.534583410615623,2436.8444852335165,93.3,1361.261390728477
2017-01-04,2045.64,2046.29,2046.29,2040.61,51.84681705881896,1.534583410615623,2436.8444852335165,93.3,1537.8459358262494
2017-01-05,2041.95,2045.52,2046.5,2039.49,51.84681705881896,1.534583410615623,2436.8444852335165,93.3,1644.3983991984658
2017-01-06,2049.12,2048.11,2051.84,2045.66,51.84681705881896,1.534583410615623,2436.8444852335165,93.3,1717.7530848707192
2017-01-09,2048.78,2053.18,2053.18,2046.47,51.84681705881896,1.534583410615623,2436.8444852335165,93.3,1770.8973779957496
2017-01-10,2045.12,2043.3,2046.78,2039.5,51.84681705881896,1.534583410615623,2436.8444852335165,93.3,1810.8505602618284
2017-01-11,2075.17,2048.08,2079.7,2047.56,51.84681705881896,1.534583410615623,2436.8444852335165,93.3,1846.4598515128885
2017-01-12,2087.14,2077.69,2087.14,2073.89,51.84681705881896,1.534583410615623,2436.8444852335165,93.3,1876.8877040444947
2017-01-13,2076.79,2077.12,2080.94,2073.44,51.84681705881896,1.534583410615623,2436.8444852335165,93.3,1900.8853914263773
2017-01-16,2064.17,2077.03,2080.05,2058.93,51.84681705881896,1.534583410615623,2436.8444852335165,93.3,1919.676366835644
2017-01-17,2071.87,2067.52,2078.8,2065.53,51.84681705881896,1.534583410615623,2436.8444852335165,93.3,1936.5965244749173
2017-01-18,2070.54,2073.77,2075.23,2058.35,51.84681705881896,1.534583410615623,2436.8444852335165,93.3,1951.0729662136785
2017-01-19,2072.79,2085.61,2091.02,2065.03,67.52473269987532,1.534583410615623,2436.8444852335165,93.3,1963.9273325529264
2017-01-20,2065.61,2065.54,2072.32,2064.0,60.91945978715462,1.534583410615623,2436.8444852335165,93.3,1974.4645329927328
2017-01-23,2065.99,2067.62,2073.8,2058.91,61.136139210005226,1.534583410615623,2436.8444852335165,93.3,1983.80327015338
2017-01-24,2065.76,2070.22,2072.66,2058.59,60.91598989399019,1.534583410615623,2436.8444852335165,93.3,1992.060178255608
2017-01-25,2066.94,2075.33,2077.72,2062.96,61.67842267789067,1.534583410615623,2436.8444852335165,93.3,1999.526078837982
2017-01-26,2083.59,2074.77,2088.6,2068.5,70.44064569008887,1.534583410615623,2436.8444852335165,93.3,2007.8366122853736
2017-01-31,2067.57,2077.66,2079.97,2067.57,56.94837063451581,1.534583410615623,2061.7335,93.3,2013.7007971730031
2017-02-01,2080.48,2075.31,2082.7,2073.97,63.08479706779208,1.534583410615623,2064.4495,94.4,2020.219351169264
2017-02-02,2071.01,2080.23,2092.45,2067.76,56.70039216979529,1.534583410615623,2065.8015000000005,94.4,2025.1540698724368
2017-02-03,2073.16,2075.9,2079.85,2064.05,57.74592453123768,1.534583410615623,2067.1775,94.4,2029.8003987443687
2017-02-06,2077.66,2085.73,2088.37,2073.03,59.926968647505205,1.534583410615623,2068.963,94.4,2034.4180571055665
2017-02-07,2075.21,2077.8,2079.23,2071.05,58.16658365584007,1.534583410615623,2070.2675,94.4,2038.3437064019265
2017-02-08,2065.08,2072.58,2072.58,2052.29,51.438358824479614,7.545378746594906,2071.0824999999995,94.4,2040.9112909368905
2017-02-09,2065.88,2067.15,2072.69,2062.12,51.91143813261056,6.590931833050036,2072.1205,94.4,2043.3050010434768
2017-02-10,2075.08,2075.8,2080.74,2072.23,57.08864320093202,6.501938589298334,2072.116,94.4,2046.34692556714
2017-02-13,2078.65,2074.94,2078.66,2070.36,58.936118532377286,6.642904696452206,2071.6915,94.4,2049.43583476006
2017-02-14,2074.57,2079.3,2081.59,2068.16,55.97032534438672,6.352175524604263,2071.5805,94.4,2051.8369611122125
2017-02-15,2083.86,2073.6,2087.69,2069.89,60.806615368419536,6.793089415326449,2072.565,94.4,2054.893829690388
2017-02-16,2081.84,2088.09,2092.59,2078.35,59.2818297089122,6.899981045774439,2073.0635,94.4,2057.4644378697058
2017-02-17,2080.58,2072.57,2081.18,2072.57,58.29979051354852,6.804582966543876,2073.5655,94.4,2059.6684693754646
2017-02-20,2084.39,2084.16,2085.59,2077.13,60.434146585275926,6.956227400576154,2074.1455,94.4,2062.024625452602
2017-02-21,2102.93,2085.97,2108.48,2085.0,68.80216354571733,8.474738254583826,2076.0115,94.4,2065.92187205544
2017-02-22,2106.61,2106.42,2108.98,2101.56,70.15158039218173,9.861437775477953,2078.0425000000005,94.4,2069.7973157310835
2017-02-23,2107.63,2106.15,2108.99,2103.11,70.5320401754413,10.916869733153362,2080.136,94.4,2073.3999445132376
2017-02-24,2094.12,2106.43,2107.83,2090.05,59.68116922763949,10.541645543489269,2081.495,94.4,2075.3726410220006
2017-02-27,2085.52,2095.47,2097.24,2084.08,53.98741791491794,9.441493878727217,2081.5915,94.4,2076.3385905361347
