date,close,open,high,low,volume,change,target,ATR,Parabolic SAR,MACD,SMA,EMA,RSI,day,month,dayofweek,C_tips,O_tips,H_tips,L_tips,change_tips,C_euro,O_euro,H_euro,L_euro,V_euro,change_euro,real_cpi,pred_cpi,past_cpi,real_rs,pred_rs,past_rs,real_unemp,pred_unemp,past_unemp
2017-01-03,7177.89,7142.83,7205.45,7142.83,82016.0,0.0049,0.001650902981238156,0.0,7205.45,0.0,7177.89,7177.89,100.0,3,1,1,1.329,1.241,1.367,1.239,0.000718,3315.02,3316.53,3334.44,3310.46,4009.0,0.0019,0.018,0.019,0.016,-0.003,0.009,-0.021,0.047,0.048,0.048
2017-01-04,7189.74,7177.89,7189.74,7168.77,76500.0,0.0017,0.001650902981238156,0.0,7205.45,0.9452991452999413,7183.8150000000005,7179.713076923077,100.0,4,1,2,1.335,1.318,1.34,1.309,4.5e-05,3317.52,3316.78,3325.5,3302.99,4042.0,0.0008,0.018,0.019,0.016,-0.003,0.009,-0.021,0.047,0.048,0.048
2017-01-05,7195.31,7189.74,7211.96,7172.77,79250.0,0.0008,0.0007747150801002967,0.0,7205.45,2.1194759782802066,7187.646666666667,7182.112603550296,100.0,5,1,3,1.293,1.328,1.383,1.29,-0.000315,3316.47,3306.31,3323.16,3300.77,3625.0,-0.0003,0.018,0.019,0.016,-0.003,0.009,-0.021,0.047,0.048,0.048
2017-01-06,7210.05,7195.31,7210.05,7180.64,71580.0,0.002,0.0020485566292487434,0.0,7205.45,4.191101975877245,7193.2475,7186.410664542558,100.0,6,1,4,1.382,1.316,1.393,1.306,0.000688,3321.17,3311.35,3322.6,3299.66,2874.0,0.0014,0.018,0.019,0.016,-0.003,0.009,-0.021,0.047,0.048,0.048
2017-01-09,7237.77,7210.05,7243.76,7207.4,72581.0,0.0038,0.003844633532361197,0.0,7205.45,7.977690982816057,7202.152,7194.31210076678,100.0,9,1,0,1.336,1.38,1.38,1.323,-0.000368,3308.97,3324.45,3326.31,3296.53,3479.0,-0.0037,0.018,0.019,0.016,-0.003,0.009,-0.021,0.047,0.048,0.048
2017-01-10,7275.47,7237.77,7284.81,7237.29,96163.0,0.0052,0.005208786684296474,0.0,7205.45,13.860885321782007,7214.371666666667,7206.797931418045,100.0,10,1,1,1.362,1.358,1.365,1.325,0.000195,3306.21,3310.63,3318.24,3295.5,3514.0,-0.0008,0.018,0.019,0.016,-0.003,0.009,-0.021,0.047,0.048,0.048
2017-01-11,7290.49,7275.47,7328.51,7257.15,90571.0,0.0021,0.0020644714362094696,0.0,7205.45,19.510443446934005,7225.245714285715,7219.673634276807,100.0,11,1,2,1.347,1.363,1.374,1.329,-0.00011,3307.94,3306.82,3324.52,3285.21,4221.0,0.0005,0.018,0.019,0.016,-0.003,0.009,-0.021,0.047,0.048,0.048
2017-01-12,7292.37,7290.49,7302.34,7263.42,85707.0,0.0003,0.0002578701843085618,0.0,7205.45,23.864365699438167,7233.6362500000005,7230.857690541913,100.0,12,1,3,1.3,1.301,1.322,1.288,-0.000349,3286.7,3299.74,3305.75,3281.37,4127.0,-0.0064,0.018,0.019,0.016,-0.003,0.009,-0.021,0.047,0.048,0.048
2017-01-13,7337.81,7292.37,7338.49,7292.37,83637.0,0.0062,0.006231170387679175,0.0,7205.45,30.62844306878651,7245.211111111112,7247.311891997004,100.0,13,1,4,1.365,1.32,1.381,1.301,0.0005,3324.34,3296.78,3326.97,3296.43,3735.0,0.0115,0.018,0.019,0.016,-0.003,0.009,-0.021,0.047,0.048,0.048
2017-01-16,7327.13,7337.81,7354.14,7320.47,63374.0,-0.0015,-0.0014554751349517003,0.0,7205.45,34.726925987006325,7253.403,7259.591600920541,91.9700051988852,16,1,0,1.311,1.33,1.337,1.311,-0.000396,3294.53,3313.56,3313.56,3294.53,2904.0,-0.009,0.018,0.019,0.016,-0.003,0.009,-0.021,0.047,0.048,0.048
2017-01-17,7220.38,7327.13,7329.27,7220.38,87928.0,-0.0146,-0.014569142351780306,0.0,7354.14,29.026570142455967,7250.400909090909,7253.559046932765,49.330503187145034,17,1,1,1.309,1.281,1.326,1.257,-1.5e-05,3285.04,3290.62,3300.5,3266.1,3325.0,-0.0029,0.018,0.019,0.016,-0.003,0.009,-0.021,0.047,0.048,0.048
2017-01-18,7247.61,7220.38,7260.47,7218.41,82014.0,0.0038,0.0037712696561675862,0.0,7354.14,26.401885989119364,7250.168333333334,7252.643808943109,55.05470093480242,18,1,2,1.339,1.315,1.347,1.315,0.000229,3294.0,3291.64,3300.24,3274.73,3297.0,0.0027,0.018,0.019,0.016,-0.003,0.009,-0.021,0.047,0.048,0.048
2017-01-19,7208.44,7247.61,7249.63,7191.67,77156.0,-0.0054,-0.0054045402553393185,0.0,7348.710800000001,20.919960957426156,7252.714166666668,7245.843222951862,46.85473358032869,19,1,3,1.413,1.382,1.413,1.362,0.000553,3290.33,3297.76,3306.12,3282.53,4177.0,-0.0011,0.018,0.019,0.016,-0.003,0.009,-0.021,0.047,0.048,0.048
