date,close,open,high,low,volume,change,target,ATR,Parabolic SAR,MACD,SMA,EMA,RSI,day,month,dayofweek,tips,real_cpi,pred_cpi,past_cpi,O_vix,C_vix,H_vix,L_vix,change_vix
2017-01-03,5429.08,5425.62,5452.56,5397.99,45068.0,0.0085,0.00882838344618242,0.0,5452.56,0.0,5429.08,5429.08,100.0,3,1,1,97.45,0.6,0.3,0.3,14.07,12.85,14.07,12.85,-8.48
2017-01-04,5477.01,5440.91,5482.35,5440.24,45534.0,0.0088,0.00882838344618242,0.0,5452.56,3.82347578347526,5453.045,5436.453846153846,100.0,4,1,2,97.45,0.6,0.3,0.3,12.78,11.85,12.8,11.63,-7.78
2017-01-05,5487.94,5474.39,5495.85,5464.36,42364.0,0.002,0.0019956143954455996,0.0,5452.56,7.647412926842662,5464.676666666666,5444.374792899408,100.0,5,1,3,97.45,0.6,0.3,0.3,11.96,11.67,12.09,11.4,-1.52
2017-01-06,5521.06,5499.08,5536.52,5482.81,38285.0,0.006,0.0060350514036233704,0.0,5452.56,13.19827635339243,5478.7725,5456.1725170687305,100.0,6,1,4,97.45,0.6,0.3,0.3,11.7,11.32,11.74,10.98,-3.0
2017-01-09,5531.82,5527.57,5541.08,5517.14,43310.0,0.0019,0.0019489011168143389,0.0,5452.56,18.255183296091673,5489.382,5467.810591365849,100.0,9,1,0,99.41,0.6,0.3,0.3,11.71,11.56,12.08,11.46,2.12
2017-01-10,5551.82,5536.54,5564.25,5528.11,43157.0,0.0036,0.0036154466341999925,0.0,5452.56,23.604552743550812,5499.788333333333,5480.735115771104,100.0,10,1,1,99.41,0.6,0.3,0.3,11.59,11.49,11.79,11.31,-0.61
2017-01-11,5563.65,5550.72,5564.08,5524.03,43571.0,0.0021,0.002130832771955804,0.0,5452.56,28.47036011414002,5508.911428571429,5493.491251806318,100.0,11,1,2,99.41,0.6,0.3,0.3,11.56,11.26,12.23,11.21,-2.0
2017-01-12,5547.49,5542.56,5550.67,5496.82,39473.0,-0.0029,-0.002904568044359346,0.0,5452.56,30.669036998628144,5513.733749999999,5501.798751528423,86.05691395872867,12,1,3,99.41,0.6,0.3,0.3,11.48,11.54,12.6,11.32,2.49
2017-01-13,5574.12,5557.57,5584.26,5557.2,35766.0,0.0048,0.00480036917596971,0.0,5452.56,34.166472882501694,5520.443333333333,5512.925097447127,88.82265776952585,13,1,4,99.41,0.6,0.3,0.3,11.45,11.23,11.62,10.94,-2.69
2017-01-17,5538.73,5555.16,5557.05,5527.22,41558.0,-0.0063,-0.006348984234282762,0.0,5452.56,33.694133784311816,5522.272,5516.895082455261,69.18255632201127,17,1,1,99.61,0.6,0.3,0.3,12.2,11.87,12.75,11.79,5.7
2017-01-18,5555.65,5546.94,5555.98,5534.77,38031.0,0.0031,0.003054851924538582,0.0,5452.56,34.28983239645004,5525.306363636363,5522.857377462144,72.33244512126288,18,1,2,99.61,0.6,0.3,0.3,11.79,12.48,12.81,11.69,5.14
2017-01-19,5540.08,5560.61,5571.53,5528.37,39866.0,-0.0028,-0.0028025523566098665,0.0,5452.56,33.12372923050134,5526.537499999999,5525.507011698736,65.67967463303887,19,1,3,99.61,0.6,0.3,0.3,12.58,12.78,13.28,12.17,2.4
2017-01-20,5555.33,5556.87,5574.35,5542.23,44446.0,0.0028,0.0027526678315115127,0.0,5452.56,33.04916145968127,5537.058333333333,5530.095163745084,68.71478477816567,20,1,4,99.61,0.6,0.3,0.3,12.58,11.54,12.59,11.53,-9.7
2017-01-23,5552.94,5546.64,5564.14,5522.69,38991.0,-0.0004,-0.00043021746682925244,41.697142857143,5452.56,32.423455525737154,5543.385833333334,5533.609753938148,67.70424892823763,23,1,0,99.52,0.6,0.3,0.3,12.3,11.77,12.62,11.59,1.99
2017-01-24,5600.96,5568.27,5606.53,5558.49,40912.0,0.0086,0.008647671323659178,42.546632653061366,5452.56,35.394387280900446,5552.804166666666,5543.9713302553555,75.50025320566631,24,1,1,99.52,0.6,0.3,0.3,11.82,11.07,11.89,11.04,-5.95
2017-01-25,5656.34,5635.86,5658.59,5634.33,43579.0,0.0099,0.009887590698737458,43.624016034985566,5452.56,41.73646330240081,5564.0775,5561.258817908378,81.15124651730999,25,1,2,99.52,0.6,0.3,0.3,10.79,10.81,11.05,10.51,-2.35
2017-01-26,5655.18,5666.28,5669.61,5647.65,42644.0,-0.0002,-0.00020507960978299877,42.07658631820089,5452.56,46.137161458250375,5574.357499999999,5575.708230537858,80.73120294597686,26,1,3,99.52,0.6,0.3,0.3,10.61,10.63,11.01,10.6,-1.67
2017-01-27,5660.78,5664.88,5667.45,5643.9,38697.0,0.001,0.0009902425740646592,40.7532587240437,5452.56,49.50594592271045,5583.4375,5588.796195070496,81.23613865311195,27,1,4,99.52,0.6,0.3,0.3,10.57,10.58,10.82,10.3,-0.47
2017-01-30,5613.71,5635.86,5636.09,5578.76,41727.0,-0.0083,-0.008315108518613945,43.700883100897684,5452.56,47.82626485158653,5587.609166666666,5592.629088136573,65.66106068145234,30,1,0,99.8,0.6,0.3,0.3,11.1,11.88,12.9,11.1,12.29
2017-01-31,5614.79,5592.87,5615.15,5576.09,50636.0,0.0002,0.00019238614035987922,43.369391450833525,5669.61,46.05140059527548,5593.2175,5596.038459192485,65.82297284695736,31,1,1,99.8,0.6,0.3,0.3,12.29,11.99,12.99,11.79,0.93
