날짜,종가,시가,고가,저가,거래량,변동률,수익률
2022-12-29,"107,370","107,400","107,400","107,270",0.22K,-0.10%,1.36%
2022-12-28,"107,475","107,410","107,475","107,270",0.15K,-0.07%,0.19%
2022-12-27,"107,555","107,550","107,610","107,445",0.68K,0.01%,-0.08%
2022-12-26,"107,545","107,640","107,710","107,525",0.08K,-0.06%,1.36%
2022-12-23,"107,610","107,745","107,745","107,530",0.21K,-0.20%,1.65%
2022-12-22,"107,830","107,635","107,830","107,635",0.05K,0.17%,-2.19%
2022-12-21,"107,650","107,355","107,670","107,325",0.25K,0.21%,-1.11%
2022-12-20,"107,420","107,745","107,805","107,330",0.30K,-0.54%,4.01%
2022-12-19,"108,005","107,975","108,005","107,850",0.75K,0.07%,0.28%
2022-12-16,"107,930","107,890","107,930","107,860",0.12K,0.03%,-0.56%
2022-12-15,"107,895","107,835","107,905","107,755",0.06K,-0.01%,0.79%
2022-12-14,"107,905","107,780","107,905","107,660",0.11K,0.30%,-2.62%
2022-12-13,"107,580","107,500","107,580","107,430",0.10K,-0.04%,0.06%
2022-12-12,"107,620","107,540","107,655","107,470",0.18K,0.09%,1.12%
2022-12-09,"107,520","107,500","107,520","107,430",0.09K,0.04%,-2.40%
2022-12-08,"107,480","107,575","107,575","107,380",0.23K,-0.03%,0.14%
2022-12-07,"107,515","107,475","107,525","107,425",0.08K,-0.93%,0.88%
2022-12-06,"108,520","108,510","108,530","108,365",0.09K,-0.03%,0.47%
2022-12-05,"108,555","108,495","108,565","108,465",0.15K,0.16%,0.06%
2022-12-02,"108,385","108,560","108,560","108,385",2.32K,0.07%,-1.09%
2022-12-01,"108,310","108,470","108,515","108,310",0.23K,-0.02%,-0.25%
2022-11-30,"108,335","108,160","108,335","108,160",0.22K,0.12%,-1.53%
2022-11-29,"108,205","108,250","108,370","108,115",0.31K,-0.09%,1.44%
2022-11-28,"108,300","108,350","108,390","108,210",0.09K,-0.07%,0.82%
2022-11-25,"108,375","108,190","108,470","108,095",2.87K,0.15%,-1.08%
2022-11-24,"108,215","107,985","108,215","107,965",0.12K,0.50%,-4.46%
2022-11-23,"107,675","107,690","107,760","107,500",9.32K,-0.10%,0.78%
2022-11-22,"107,780","107,750","107,800","107,670",0.12K,0.02%,-0.10%
2022-11-21,"107,760","107,770","107,895","107,680",1.64K,0.01%,1.21%
2022-11-18,"107,750","107,645","107,750","107,615",0.06K,-0.07%,0.18%
2022-11-17,"107,830","107,920","107,920","107,785",0.16K,0.14%,-0.11%
2022-11-16,"107,675","107,865","107,865","107,640",1.23K,-0.18%,1.22%
2022-11-15,"107,865","107,580","107,865","107,580",0.06K,0.25%,-2.39%
2022-11-14,"107,600","107,535","107,610","107,505",0.06K,-0.01%,0.42%
2022-11-11,"107,615","107,500","107,770","107,500",1.59K,0.61%,-5.05%
2022-11-10,"106,965","106,900","106,970","106,900",0.04K,0.18%,-0.86%
2022-11-09,"106,770","106,630","106,840","106,630",0.11K,0.24%,-2.09%
2022-11-08,"106,510","107,500","107,500","106,465",1.14K,0.08%,-0.69%
2022-11-07,"106,420","106,570","106,570","106,420",0.50K,-0.28%,1.60%
2022-11-04,"106,715","106,355","106,730","106,355",0.66K,0.29%,-1.51%
2022-11-03,"106,410","106,360","106,505","106,320",0.04K,-0.21%,1.58%
2022-11-02,"106,630","106,615","106,645","106,585",0.11K,-0.01%,0.56%
2022-11-01,"106,645","106,370","106,695","106,290",0.11K,0.25%,-2.51%
2022-10-31,"106,380","106,400","106,475","106,350",0.05K,-0.12%,1.67%
2022-10-28,"106,510","106,350","106,510","106,350",0.09K,0.20%,-2.42%
2022-10-27,"106,295","106,360","106,435","106,235",0.47K,0.03%,0.45%
2022-10-26,"106,260","106,160","106,260","106,005",0.31K,0.20%,-1.16%
2022-10-25,"106,050","105,755","106,050","105,690",0.21K,0.25%,-1.42%
2022-10-24,"105,790","105,270","105,790","105,270",0.22K,0.49%,-3.65%
2022-10-21,"105,275","105,600","105,605","105,275",1.18K,-0.54%,4.08%
2022-10-20,"105,845","105,675","105,845","105,675",0.43K,0.00%,-0.09%
2022-10-19,"105,840","105,945","106,020","105,840",0.24K,-0.25%,2.05%
2022-10-18,"106,105","106,115","106,190","105,945",0.48K,-0.05%,0.12%
2022-10-17,"106,155","105,965","106,155","105,965",0.16K,0.00%,0.74%
2022-10-14,"106,160","106,260","106,305","105,965",0.29K,-0.09%,0.38%
2022-10-13,"106,260","106,475","106,475","106,235",0.29K,-0.09%,2.29%
2022-10-12,"106,360","105,800","106,360","105,680",0.14K,0.54%,-5.37%
2022-10-11,"105,785","105,800","105,870","105,715",0.43K,-0.22%,1.50%
2022-10-07,"106,015","106,090","106,170","106,015",0.25K,-0.31%,3.26%
2022-10-06,"106,350","106,170","106,410","106,130",0.03K,-0.04%,-0.05%
2022-10-05,"106,395","106,715","106,715","106,345",0.68K,-0.12%,1.42%
2022-10-04,"106,525","106,350","106,615","106,280",0.42K,0.45%,-2.41%
2022-09-30,"106,045","105,920","106,060","105,835",1.09K,0.38%,-2.52%
2022-09-29,"105,645","106,010","106,100","105,565",3.14K,-0.19%,2.54%
2022-09-28,"105,850","105,535","105,850","105,090",0.41K,0.21%,-1.82%
2022-09-27,"105,630","104,805","105,630","104,805",3.94K,0.32%,-3.79%
2022-09-26,"105,290","105,700","105,735","105,265",0.46K,-0.85%,6.26%
2022-09-23,"106,195","106,110","106,195","105,720",0.17K,-0.29%,1.65%
2022-09-22,"106,505","107,050","107,050","106,445",0.36K,-0.47%,5.26%
2022-09-21,"107,005","106,985","107,005","106,850",0.23K,-0.19%,1.87%
2022-09-20,"107,210","107,270","107,300","107,130",0.39K,-0.15%,0.82%
2022-09-19,"107,370","107,395","107,395","107,155",0.10K,0.02%,-0.32%
2022-09-16,"107,350","107,165","107,380","107,165",1.28K,0.00%,-0.26%
