,날짜,종가,시가,저가,수익률,변동률
1473,2017-01-02,65565,65500,65500,-0.0182,-0.0002
1472,2017-01-03,65540,65560,65490,0.0034,-0.0004
1471,2017-01-04,65390,65455,65340,0.0175,-0.0023
1470,2017-01-05,65570,65445,65445,-0.0157,0.0028
1469,2017-01-06,65645,65625,65600,0.0097,0.0011
1468,2017-01-09,65150,65420,65100,0.0143,-0.0075
1467,2017-01-10,65345,65315,65310,-0.0145,0.003
1466,2017-01-11,65275,65345,65230,0.0129,-0.0011
1465,2017-01-12,65560,65415,65400,-0.0287,0.0044
1464,2017-01-13,65445,65505,65360,0.0131,-0.0018
1463,2017-01-16,65340,65440,65270,0.0163,-0.0016
1462,2017-01-17,65440,65355,65325,-0.0085,0.0015
1461,2017-01-18,65325,65395,65325,0.0114,-0.0018
1460,2017-01-19,65050,65160,65000,0.0207,-0.0042
1459,2017-01-20,65270,65050,65000,-0.0198,0.0034
1458,2017-01-23,65295,65355,65270,0.0028,0.0004
1457,2017-01-24,65475,65425,65400,-0.0108,0.0028
1456,2017-01-25,65265,65365,65265,0.0147,-0.0032
1455,2017-01-26,64920,65065,64915,0.0267,-0.0053
1454,2017-01-31,65135,65055,65000,-0.0155,0.0033
1453,2017-02-01,65080,65170,65025,0.0098,-0.0008
1452,2017-02-02,65170,65080,65055,-0.0087,0.0014
1451,2017-02-03,65025,65170,65025,0.0139,-0.0022
1450,2017-02-06,65195,65015,65015,-0.0119,0.0026
1449,2017-02-07,65315,65340,65315,-0.0084,0.0018
1448,2017-02-08,65240,65315,65205,-0.0023,-0.0011
1447,2017-02-09,65425,65460,65405,-0.0033,0.0028
1446,2017-02-10,65160,65375,65140,0.0122,-0.0041
1445,2017-02-13,65245,65240,65195,0.0047,0.0013
1444,2017-02-14,65315,65225,65140,-0.0074,0.0011
1443,2017-02-15,65205,65265,65160,0.0075,-0.0017
1442,2017-02-16,65245,65305,65245,-0.0033,0.0006
1441,2017-02-17,65305,65320,65305,-0.0037,0.0009
1440,2017-02-20,65100,65370,65100,0.0206,-0.0031
1439,2017-02-21,65005,65100,65005,0.0087,-0.0015
1438,2017-02-22,64800,65065,64800,0.0195,-0.0032
1437,2017-02-23,65005,64935,64860,-0.0196,0.0032
1436,2017-02-24,65230,65160,65150,-0.0123,0.0035
1435,2017-02-27,65135,65300,65100,-0.0009,-0.0015
1434,2017-02-28,65280,65205,65160,-0.0037,0.0022
1433,2017-03-02,64915,64870,64845,0.0315,-0.0056
1432,2017-03-03,64875,64940,64850,0.0031,-0.0006
1431,2017-03-06,64685,64985,64685,0.0189,-0.0029
1430,2017-03-07,64460,64730,64390,0.0225,-0.0035
1429,2017-03-08,64510,64445,64395,-0.0048,0.0008
1428,2017-03-09,64490,64455,64400,0.0065,-0.0003
1427,2017-03-10,64490,64370,64280,0.0009,0.0
1426,2017-03-13,64545,64590,64490,-0.0043,0.0009
1425,2017-03-14,64655,64505,64490,-0.003,0.0017
1424,2017-03-15,64745,64645,64590,-0.0096,0.0014
1423,2017-03-16,65255,65135,65135,-0.041,0.0079
1422,2017-03-17,65240,65170,65120,0.0014,-0.0002
1421,2017-03-20,65240,65285,65165,0.0088,0.0
1420,2017-03-21,65245,65290,65195,0.0009,0.0001
1419,2017-03-22,65440,65370,65370,-0.0165,0.003
