,날짜,종가,시가,저가,수익률,변동률
1474,2017-01-02,110790.0,110780.0,110765.0,-0.0006,0.0002
1473,2017-01-03,110855.0,110800.0,110800.0,-0.013999999999999999,0.0006
1472,2017-01-04,110830.0,110860.0,110815.0,0.0087,-0.0002
1471,2017-01-05,110910.0,110845.0,110845.0,-0.0141,0.0007000000000000001
1470,2017-01-06,110915.0,111015.0,110915.0,0.0149,0.0
1469,2017-01-09,110775.0,110815.0,110740.0,0.013999999999999999,-0.0013
1468,2017-01-10,110815.0,110810.0,110805.0,-0.012,0.0004
1467,2017-01-11,110840.0,110855.0,110815.0,0.0060999999999999995,0.0002
1466,2017-01-12,110930.0,110920.0,110905.0,-0.0169,0.0008
1465,2017-01-13,110945.0,110985.0,110945.0,0.0037,0.0001
1464,2017-01-16,110930.0,110960.0,110890.0,0.0068000000000000005,-0.0001
1463,2017-01-17,110930.0,110930.0,110930.0,-0.0037,0.0
1462,2017-01-18,110905.0,110965.0,110895.0,0.0141,-0.0002
1461,2017-01-19,110815.0,110890.0,110780.0,0.016399999999999998,-0.0008
1460,2017-01-20,110865.0,110810.0,110810.0,-0.0131,0.0005
1459,2017-01-23,110930.0,110915.0,110900.0,-0.0060999999999999995,0.0006
1458,2017-01-24,110955.0,110960.0,110955.0,-0.0091,0.0002
1457,2017-01-25,110930.0,110945.0,110925.0,0.0123,-0.0002
1456,2017-01-26,110800.0,110890.0,110765.0,0.0225,-0.0012
1455,2017-01-31,110855.0,110820.0,110790.0,-0.013000000000000001,0.0005
1454,2017-02-01,110835.0,110850.0,110820.0,0.0066,-0.0002
1453,2017-02-02,110870.0,110820.0,110800.0,-0.006500000000000001,0.0003
1452,2017-02-03,110830.0,110875.0,110830.0,0.006,-0.0004
1451,2017-02-06,110890.0,110840.0,110840.0,-0.0101,0.0005
1450,2017-02-07,111010.0,110920.0,110920.0,-0.011399999999999999,0.0011
1449,2017-02-08,110985.0,111000.0,110980.0,0.0049,-0.0002
1448,2017-02-09,111090.0,111090.0,111090.0,-0.0024,0.0009
1447,2017-02-10,110935.0,110955.0,110930.0,0.0103,-0.0014000000000000002
1446,2017-02-13,110960.0,110990.0,110960.0,0.0036,0.0002
1445,2017-02-14,110950.0,110965.0,110950.0,-0.0066,-0.0001
