,날짜,종가,시가,저가,수익률,변동률
1509,2017-01-03,84.38,84.37,84.35,0.0149,-0.0008
1508,2017-01-04,84.4,84.35,84.35,-0.0018,0.0002
1507,2017-01-05,84.46,84.41,84.4,-0.0479,0.0007
1506,2017-01-06,84.39,84.41,84.38,0.0544,-0.0008
1505,2017-01-09,84.46,84.43,84.42,-0.0221,0.0008
1504,2017-01-10,84.43,84.44,84.43,-0.0018,-0.0004
1503,2017-01-11,84.47,84.47,84.42,0.0155,0.0005
1502,2017-01-12,84.5,84.5,84.46,-0.0127,0.0004
1501,2017-01-13,84.46,84.46,84.39,0.0184,-0.0005
1500,2017-01-17,84.52,84.53,84.5,-0.0293,0.0007
1499,2017-01-18,84.44,84.49,84.42,0.0644,-0.0009
1498,2017-01-19,84.41,84.39,84.39,0.0054,-0.0004
1497,2017-01-20,84.46,84.42,84.42,-0.0193,0.0006
1496,2017-01-23,84.54,84.52,84.49,-0.0398,0.0009
1495,2017-01-24,84.49,84.53,84.48,0.0397,-0.0006
1494,2017-01-25,84.47,84.48,84.44,0.0146,-0.0002
1493,2017-01-26,84.48,84.46,84.44,-0.0089,0.0001
1492,2017-01-27,84.52,84.49,84.49,-0.0106,0.0005
1491,2017-01-30,84.52,84.52,84.5,0.0,0.0
1490,2017-01-31,84.54,84.51,84.51,-0.0055,0.0002
1489,2017-02-01,84.46,84.41,84.38,0.0056,-0.0009
1488,2017-02-02,84.49,84.48,84.47,-0.0055,0.0004
1487,2017-02-03,84.46,84.52,84.46,-0.0054,-0.0004
1486,2017-02-06,84.55,84.53,84.52,-0.0354,0.0011
1485,2017-02-07,84.53,84.56,84.53,0.0059,-0.0002
1484,2017-02-08,84.61,84.57,84.55,-0.0101,0.0009
1483,2017-02-09,84.54,84.58,84.52,0.0362,-0.0008
1482,2017-02-10,84.53,84.51,84.51,0.0111,-0.0001
1481,2017-02-13,84.51,84.5,84.49,0.0127,-0.0002
1480,2017-02-14,84.45,84.49,84.43,0.0306,-0.0007
1479,2017-02-15,84.42,84.4,84.39,0.0141,-0.0004
1478,2017-02-16,84.46,84.45,84.43,-0.0344,0.0005
1477,2017-02-17,84.52,84.53,84.5,-0.0176,0.0007
1476,2017-02-21,84.53,84.51,84.49,0.0019,0.0001
1475,2017-02-22,84.55,84.55,84.49,-0.009,0.0002
1474,2017-02-23,84.59,84.57,84.57,-0.0291,0.0005
1473,2017-02-24,84.63,84.62,84.62,-0.0282,0.0005
1472,2017-02-27,84.56,84.64,84.55,0.0408,-0.0008
1471,2017-02-28,84.52,84.57,84.52,0.0505,-0.0005
1470,2017-03-01,84.4,84.37,84.36,0.0286,-0.0014
1469,2017-03-02,84.31,84.35,84.29,0.014,-0.0011
1468,2017-03-03,84.33,84.32,84.3,-0.0031,0.0002
1467,2017-03-06,84.35,84.34,84.33,-0.0016,0.0002
1466,2017-03-07,84.32,84.33,84.3,0.0175,-0.0004
1465,2017-03-08,84.25,84.25,84.24,0.0345,-0.0008
1464,2017-03-09,84.24,84.26,84.23,0.0177,-0.0001
1463,2017-03-10,84.29,84.26,84.25,-0.019,0.0006
1462,2017-03-13,84.25,84.28,84.25,0.0146,-0.0005
1461,2017-03-14,84.24,84.24,84.24,0.0,-0.0001
1460,2017-03-15,84.4,84.26,84.24,-0.0588,0.0019
1459,2017-03-16,84.34,84.35,84.34,0.0236,-0.0007
1458,2017-03-17,84.38,84.38,84.36,-0.0116,0.0005
1457,2017-03-20,84.43,84.4,84.38,-0.0218,0.0006
1456,2017-03-21,84.47,84.42,84.41,-0.0257,0.0005
1455,2017-03-22,84.49,84.51,84.49,-0.0071,0.0002
1454,2017-03-23,84.49,84.51,84.46,0.0053,0.0
1453,2017-03-24,84.49,84.48,84.47,0.0033,0.0
1452,2017-03-27,84.52,84.54,84.51,-0.0142,0.0004
1451,2017-03-28,84.48,84.54,84.46,0.0286,-0.0005
1450,2017-03-29,84.53,84.5,84.5,-0.0244,0.0006
1449,2017-03-30,84.51,84.5,84.49,0.0125,-0.0002
1448,2017-03-31,84.52,84.53,84.52,-0.0249,0.0001
1447,2017-04-03,84.54,84.48,84.48,-0.0399,0.0002
1446,2017-04-04,84.51,84.52,84.49,0.0244,-0.0004
1445,2017-04-05,84.51,84.5,84.47,-0.0222,0.0
1444,2017-04-06,84.53,84.5,84.49,0.0037,0.0002
1443,2017-04-07,84.42,84.51,84.42,0.0449,-0.0013
1442,2017-04-10,84.46,84.45,84.44,-0.0055,0.0005
1441,2017-04-11,84.54,84.5,84.5,-0.026,0.0009
1440,2017-04-12,84.6,84.56,84.53,-0.031,0.0007
1439,2017-04-13,84.64,84.59,84.58,-0.0056,0.0005
1438,2017-04-17,84.63,84.63,84.61,-0.002,-0.0001
1437,2017-04-18,84.7,84.65,84.65,-0.038,0.0008
1436,2017-04-19,84.66,84.67,84.65,0.0237,-0.0005
1435,2017-04-20,84.65,84.64,84.63,0.0134,-0.0001
1434,2017-04-21,84.69,84.67,84.66,-0.0021,0.0005
1433,2017-04-24,84.6,84.59,84.57,0.023,-0.0011
