날짜,종가,시가,고가,저가,거래량,변동률,수익률
2022- 12- 30,81.17,81.2,81.27,81.16,6.05M,-0.0012,0.0145
2022- 12- 29,81.27,81.25,81.28,81.23,4.15M,0.0007,-0.0034
2022- 12- 28,81.21,81.23,81.25,81.21,4.31M,0.0,0.0028
2022- 12- 27,81.21,81.25,81.26,81.16,3.46M,-0.0014,0.0194
2022- 12- 23,81.32,81.31,81.34,81.3,2.74M,-0.0005,0.0126
2022- 12- 22,81.36,81.39,81.45,81.36,6.61M,-0.0006,0.0106
2022- 12- 21,81.41,81.42,81.43,81.38,5.22M,0.001,-0.007
2022- 12- 20,81.33,81.29,81.35,81.27,3.74M,0.0,0.0063
2022- 12- 19,81.33,81.39,81.4,81.33,4.85M,-0.0012,0.0243
2022- 12- 16,81.43,81.3,81.48,81.29,3.99M,0.001,-0.01
2022- 12- 15,81.35,81.39,81.4,81.31,6.16M,-0.0021,0.0085
2022- 12- 14,81.52,81.58,81.62,81.43,5.65M,0.0001,-0.0071
2022- 12- 13,81.51,81.59,81.62,81.49,5.79M,0.003,-0.0468
2022- 12- 12,81.27,81.36,81.37,81.24,4.58M,-0.0006,0.0089
2022- 12- 09,81.32,81.35,81.4,81.32,4.62M,-0.0005,0.0109
2022- 12- 08,81.36,81.39,81.42,81.35,4.12M,-0.001,0.0147
2022- 12- 07,81.44,81.37,81.45,81.35,5.16M,0.0021,-0.0263
2022- 12- 06,81.27,81.22,81.29,81.21,4.23M,0.0011,-0.0056
2022- 12- 05,81.18,81.32,81.33,81.18,6.59M,-0.0028,0.0324
2022- 12- 02,81.41,81.29,81.42,81.24,5.16M,-0.0002,0.0074
2022- 12- 01,81.43,81.29,81.43,81.27,23.60M,0.0001,-0.0243
2022- 11- 30,81.42,81.14,81.42,81.11,10.37M,0.003,-0.0425
2022- 11- 29,81.18,81.21,81.23,81.18,4.71M,-0.0004,0.01
2022- 11- 28,81.21,81.21,81.25,81.19,4.33M,0.0002,-0.0028
2022- 11- 25,81.19,81.16,81.2,81.15,1.54M,0.0001,0.0085
2022- 11- 23,81.18,81.1,81.19,81.08,4.07M,0.0009,-0.0159
2022- 11- 22,81.11,81.1,81.12,81.06,3.42M,0.0007,-0.0078
2022- 11- 21,81.05,81.13,81.14,81.04,3.44M,-0.0002,0.0058
2022- 11- 18,81.07,81.14,81.18,81.07,4.37M,-0.0011,0.0177
2022- 11- 17,81.16,81.19,81.19,81.12,5.45M,-0.0012,0.0188
2022- 11- 16,81.26,81.29,81.3,81.24,8.25M,0.0001,0.0006
2022- 11- 15,81.25,81.25,81.26,81.18,21.23M,0.001,-0.0218
2022- 11- 14,81.17,81.15,81.17,81.11,7.19M,-0.0009,0.0133
2022- 11- 11,81.24,81.18,81.28,81.17,4.25M,-0.0002,
2022- 11- 10,81.26,81.17,81.29,81.16,6.63M,0.0054,-0.0692
2022- 11- 09,80.82,80.72,80.84,80.7,4.59M,0.0016,-0.0168
2022- 11- 08,80.69,80.65,80.71,80.64,7.09M,0.001,-0.0186
2022- 11- 07,80.61,80.64,80.64,80.6,4.39M,-0.0009,0.0133
2022- 11- 04,80.68,80.63,80.71,80.57,4.35M,0.0011,-0.0122
2022- 11- 03,80.59,80.56,80.64,80.56,4.83M,-0.0019,0.0197
2022- 11- 02,80.74,80.82,80.96,80.69,5.71M,-0.0005,0.0122
2022- 11- 01,80.78,80.98,80.99,80.78,5.35M,-0.0027,0.0142
2022- 10- 31,81.0,81.01,81.03,80.96,6.85M,-0.0015,0.017
2022- 10- 28,81.12,81.14,81.18,81.09,4.46M,-0.0015,0.0274
2022- 10- 27,81.24,81.16,81.25,81.12,4.01M,0.0021,-0.0311
2022- 10- 26,81.07,81.02,81.11,81.01,6.04M,0.0009,-0.0159
2022- 10- 25,81.0,81.04,81.09,80.98,5.11M,0.001,-0.0163
2022- 10- 24,80.92,80.9,80.97,80.87,3.68M,-0.0002,0.0026
2022- 10- 21,80.94,80.83,80.99,80.8,5.18M,0.0026,-0.0287
2022- 10- 20,80.73,80.77,80.82,80.73,5.80M,-0.0011,0.0181
2022- 10- 19,80.82,80.85,80.88,80.81,4.35M,-0.0019,0.0314
2022- 10- 18,80.97,81.01,81.02,80.92,7.01M,0.0005,-0.0025
2022- 10- 17,80.93,80.98,80.99,80.92,4.01M,0.0011,-0.0132
2022- 10- 14,80.84,80.97,80.99,80.82,5.51M,-0.0005,0.0114
2022- 10- 13,80.88,80.8,80.98,80.79,5.75M,-0.003,0.0314
2022- 10- 12,81.12,81.06,81.13,81.05,8.79M,0.001,-0.008
2022- 10- 11,81.04,81.07,81.12,81.04,3.84M,0.0005,-0.0005
2022- 10- 10,81.0,81.04,81.05,80.96,2.93M,-0.0004,0.0007
2022- 10- 07,81.03,81.06,81.08,81.03,4.62M,-0.0012,0.0176
2022- 10- 06,81.13,81.23,81.24,81.13,5.10M,-0.0012,0.0258
2022- 10- 05,81.23,81.22,81.26,81.16,7.18M,-0.001,0.0156
2022- 10- 04,81.31,81.33,81.41,81.29,6.22M,0.0004,-0.0027
2022- 10- 03,81.28,81.27,81.41,81.23,8.91M,0.0009,-0.0401
2022- 09- 30,81.21,81.29,81.35,81.18,8.45M,-0.0009,0.0168
2022- 09- 29,81.28,81.25,81.31,81.19,4.74M,-0.0014,0.0139
2022- 09- 28,81.39,81.3,81.39,81.23,7.79M,0.0043,-0.0497
2022- 09- 27,81.04,81.11,81.12,81.01,15.09M,0.0,-0.0103
2022- 09- 26,81.04,81.18,81.2,81.0,6.15M,-0.0022,0.0464
2022- 09- 23,81.22,81.32,81.34,81.2,10.19M,-0.0012,0.0218
2022- 09- 22,81.32,81.38,81.39,81.28,6.61M,-0.0018,0.0305
2022- 09- 21,81.47,81.54,81.55,81.32,4.48M,-0.0009,0.0173
2022- 09- 20,81.54,81.54,81.67,81.51,15.98M,-0.0005,0.0102
2022- 09- 19,81.58,81.55,81.6,81.53,4.38M,-0.0011,0.0184
2022- 09- 16,81.67,81.6,81.7,81.59,4.37M,0.0005,-0.0042
2022- 09- 15,81.63,81.67,81.69,81.63,3.59M,-0.0011,0.0156
2022- 09- 14,81.72,81.71,81.79,81.71,4.74M,-0.0009,0.0097
2022- 09- 13,81.79,81.82,81.85,81.74,6.54M,-0.0034,0.0387
2022- 09- 12,82.07,82.13,82.14,82.05,3.14M,-0.0001,0.0033
2022- 09- 09,82.08,82.14,82.18,82.05,4.07M,-0.0009,0.0091
2022- 09- 08,82.15,82.2,82.22,82.14,4.98M,-0.0012,0.0229
2022- 09- 07,82.25,82.18,82.25,82.16,4.43M,0.0015,-0.0238
2022- 09- 06,82.13,82.18,82.2,82.13,4.99M,-0.0022,0.0279
2022- 09- 02,82.31,82.29,82.34,82.24,4.11M,0.0022,-0.0316
2022- 09- 01,82.13,82.14,82.19,82.07,6.73M,-0.0019,0.0089
2022- 08- 31,82.29,82.31,82.35,82.27,5.42M,-0.0001,0.0139
2022- 08- 30,82.3,82.32,82.36,82.25,4.63M,-0.0005,0.0058
2022- 08- 29,82.34,82.38,82.39,82.33,3.66M,-0.0007,0.02
2022- 08- 26,82.4,82.41,82.45,82.34,4.30M,-0.0002,0.0035
2022- 08- 25,82.42,82.44,82.46,82.4,3.03M,0.0006,-0.0098
2022- 08- 24,82.37,82.43,82.45,82.37,4.55M,-0.0011,0.0168
2022- 08- 23,82.46,82.44,82.57,82.4,4.23M,0.0005,-0.0024
2022- 08- 22,82.42,82.46,82.49,82.4,3.74M,-0.0013,0.0264
