날짜,종가,시가,고가,저가,거래량,변동률,수익률
2022- 12- 29,62215,62290,62295,62080,9.33K,-0.0046,0.0131
2022- 12- 28,62505,62495,62505,62180,12.31K,-0.0053,0.0174
2022- 12- 27,62840,62810,62955,62690,6.93K,0.0014,-0.0077
2022- 12- 26,62750,63075,63220,62750,8.74K,-0.0063,0.0251
2022- 12- 23,63150,63415,63415,63115,6.86K,-0.0057,0.0151
2022- 12- 22,63510,63135,63510,63050,8.56K,0.0065,-0.0191
2022- 12- 21,63100,62910,63155,62845,11.53K,0.0017,-0.0047
2022- 12- 20,62995,64450,64450,62925,37.22K,-0.0168,0.0572
2022- 12- 19,64070,64150,64210,63930,5.98K,-0.0024,0.0119
2022- 12- 16,64225,64200,64255,64000,3.11K,0.0029,-0.0109
2022- 12- 15,64040,63965,64040,63825,4.01K,0.0001,-0.0023
2022- 12- 14,64035,63900,64050,63695,6.15K,0.0053,-0.0179
2022- 12- 13,63695,63775,63775,63620,4.49K,-0.0025,0.0058
2022- 12- 12,63855,63680,63920,63580,8.27K,0.0005,0.0012
2022- 12- 09,63825,63540,63870,63540,6.16K,0.003,-0.0232
2022- 12- 08,63635,63790,63840,63560,7.77K,-0.0012,0.0048
2022- 12- 07,63710,63685,63760,63455,3.82K,0.0004,0.002
2022- 12- 06,63685,63345,63685,63270,6.16K,0.0049,-0.0171
2022- 12- 05,63375,63210,63445,63205,5.21K,0.0012,-0.0031
2022- 12- 02,63300,63125,63300,63065,5.42K,0.0069,-0.0221
2022- 12- 01,62865,63210,63210,62795,15.25K,-0.001,0.0033
2022- 11- 30,62930,62835,63070,62820,4.47K,0.0015,-0.0049
2022- 11- 29,62835,63020,63140,62760,4.63K,-0.0044,0.0172
2022- 11- 28,63115,62930,63200,62930,9.05K,0.001,-0.0008
2022- 11- 25,63050,63075,63200,62800,5.70K,0.0008,0.0
2022- 11- 24,63000,62600,63050,62600,53.14K,0.0125,-0.0423
2022- 11- 23,62225,62380,62385,62045,5.37K,-0.0006,0.0034
2022- 11- 22,62265,62185,62375,62100,8.35K,-0.0006,0.0019
2022- 11- 21,62305,61950,62360,61900,5.64K,0.0044,-0.0087
2022- 11- 18,62035,61700,62035,61650,5.33K,0.0023,-0.0112
2022- 11- 17,61890,61975,62135,61795,9.34K,0.0044,-0.0095
2022- 11- 16,61620,62030,62030,61585,8.22K,-0.0025,0.0049
2022- 11- 15,61775,61570,61890,61570,6.93K,0.0046,-0.014
2022- 11- 14,61490,61395,61690,61395,7.54K,-0.0021,0.0069
2022- 11- 11,61620,62065,62065,61525,13.28K,0.0156,-0.0484
2022- 11- 10,60675,60390,60750,60340,5.06K,0.0066,-0.019
2022- 11- 09,60280,60190,60470,60120,6.94K,0.0063,-0.0174
2022- 11- 08,59905,59720,60140,59705,6.49K,0.0014,-0.0061
2022- 11- 07,59820,60165,60170,59720,10.85K,-0.0067,0.0186
2022- 11- 04,60225,59980,60285,59940,8.58K,0.0032,-0.0059
2022- 11- 03,60035,60015,60125,59930,8.60K,-0.0046,0.0128
2022- 11- 02,60310,60220,60350,60175,22.69K,0.0011,-0.005
2022- 11- 01,60245,59925,60405,59870,72.77K,0.0066,-0.0197
2022- 10- 31,59850,59935,60130,59765,5.87K,-0.0061,0.0192
2022- 10- 28,60220,59955,60220,59855,7.87K,0.008,-0.0251
2022- 10- 27,59745,60000,60075,59695,37.81K,-0.0009,0.0035
2022- 10- 26,59800,59525,59890,59120,17.67K,0.0101,-0.0296
2022- 10- 25,59200,58365,59200,58330,17.35K,0.0077,-0.0223
2022- 10- 24,58745,58525,58800,58405,8.98K,0.0152,-0.0292
2022- 10- 21,57865,58545,58715,57850,30.07K,-0.0197,0.0544
2022- 10- 20,59025,58945,59410,58740,66.12K,-0.002,0.0085
2022- 10- 19,59145,59410,59600,59145,8.09K,-0.0081,0.0243
2022- 10- 18,59625,59820,59860,59560,18.48K,-0.0063,0.0176
2022- 10- 17,60000,59665,60000,59475,15.21K,0.0006,0.0048
2022- 10- 14,59965,59550,60105,59450,9.16K,0.0045,-0.0108
2022- 10- 13,59695,60250,60300,59695,3.73K,-0.0109,0.0313
2022- 10- 12,60355,59425,60425,59240,68.06K,0.0153,-0.0434
2022- 10- 11,59445,59425,59530,59255,9.19K,-0.0073,0.0223
2022- 10- 07,59885,60350,60350,59825,1.85K,-0.0077,0.0278
2022- 10- 06,60350,59940,60450,59900,12.18K,-0.0024,0.0084
2022- 10- 05,60495,60825,60990,60495,34.56K,-0.0053,0.0152
2022- 10- 04,60815,60780,61160,60530,14.82K,0.013,-0.0184
2022- 09- 30,60035,60090,60405,59910,3.99K,0.0044,-0.0279
2022- 09- 29,59770,60210,60510,59575,22.79K,-0.0001,-0.0009
2022- 09- 28,59775,59515,59835,58770,56.95K,-0.0023,0.0059
2022- 09- 27,59915,58895,59915,58810,16.54K,0.0088,-0.0223
2022- 09- 26,59390,59700,59945,59390,20.89K,-0.0153,0.0424
2022- 09- 23,60310,60360,60385,59620,30.27K,-0.0093,0.0301
2022- 09- 22,60875,61225,61240,60780,9.29K,-0.0065,0.0215
2022- 09- 21,61275,61310,61400,61080,6.92K,-0.0067,0.0217
2022- 09- 20,61690,62250,62250,61570,5.56K,-0.001,0.0055
2022- 09- 19,61750,62015,62015,61605,4.21K,-0.0026,0.0077
2022- 09- 16,61910,61780,62020,61700,4.15K,0.0019,-0.005
2022- 09- 15,61790,62510,62575,61760,9.00K,-0.0106,0.0364
2022- 09- 14,62455,62485,62485,62030,6.87K,-0.0005,0.0036
2022- 09- 13,62485,62370,62530,62280,8.73K,-0.0014,0.0069
2022- 09- 08,62575,62175,62575,62125,7.75K,0.0094,-0.0305
2022- 09- 07,61995,61685,62010,61675,4.56K,-0.0026,0.007
2022- 09- 06,62155,62300,62470,62110,1.99K,-0.0029,0.0106
2022- 09- 05,62335,62095,62380,61930,3.23K,0.0062,-0.0158
2022- 09- 02,61950,61665,61950,61585,8.25K,0.005,-0.0142
2022- 09- 01,61640,61785,61785,61610,12.22K,-0.0048,0.0139
2022- 08- 31,61935,62195,62210,61650,6.59K,-0.0044,0.0141
2022- 08- 30,62210,62225,62225,62000,4.34K,0.0012,-0.0054
2022- 08- 29,62135,61090,62295,61090,9.44K,-0.0073,0.026
2022- 08- 26,62590,62895,63040,62590,8.86K,-0.0021,0.0053
2022- 08- 25,62720,63325,63490,62690,7.88K,-0.0123,0.0472
2022- 08- 24,63500,63810,63850,63500,10.57K,-0.0056,0.0184
2022- 08- 23,63860,63760,63865,63660,2.30K,-0.0011,0.0063
2022- 08- 22,63930,63930,65345,63795,3.14K,-0.0029,0.0145
2022- 08- 19,64115,64605,64605,64075,17.13K,-0.0074,0.0283
2022- 08- 18,64590,64650,64675,64520,5.98K,-0.002,0.0097
2022- 08- 17,64720,64885,64885,64700,3.17K,-0.0031,0.0092
2022- 08- 16,64920,64530,64920,64530,8.26K,0.0126,-0.0354
2022- 08- 12,64110,64300,64315,64110,3.44K,-0.0051,0.0198
2022- 08- 11,64440,64675,64710,64385,7.18K,-0.0028,0.0084
2022- 08- 10,64620,64850,64860,64600,2.17K,-0.0036,0.0139
2022- 08- 09,64855,64860,64925,64725,2.67K,0.0015,-0.0031
2022- 08- 08,64760,64595,64760,64595,5.36K,-0.004,0.0202
2022- 08- 05,65020,65000,65055,64845,3.47K,0.0017,-0.006
2022- 08- 04,64910,64955,65115,64905,8.90K,-0.0007,0.0016
2022- 08- 03,64955,64745,64985,64745,2.25K,-0.0028,0.0129
2022- 08- 02,65140,64995,65315,64980,3.87K,0.0071,-0.0273
2022- 08- 01,64680,64760,64905,64575,8.47K,-0.0036,0.0195
2022- 07- 29,64915,64935,65280,64865,16.38K,0.006,-0.0219
2022- 07- 28,64530,65025,65025,64450,5.09K,-0.0057,0.0208
2022- 07- 27,64900,64750,64900,64450,3.40K,0.004,-0.0163
2022- 07- 26,64640,64475,64650,64400,8.57K,0.0024,-0.009
2022- 07- 25,64485,64230,64600,64230,8.59K,0.0074,-0.0267
